team,opponent,team_score,opp_score,date,OT,neutral,home_game,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp-eFG%,Opp-TOV%,Opp-ORB%,Opp-FT/FGA
Air Force,South Dakota,94,86,12/5/2013,0,FALSE,TRUE,136.2,124.6,69.4,0.813,0.479,0.707,53.1,76.9,5.8,8.3,0.656,9.7,20,0.646,0.65,15.2,87.5,0.42
Air Force,Western State,94,53,12/9/2013,0,FALSE,TRUE,149.2,84.1,63.2,0.407,0.525,0.668,60.3,72.7,3.2,21.2,0.669,5.4,38.7,0.254,0.364,9.5,76.2,0.169
Air Force,UC-Riverside,62,52,12/14/2013,0,FALSE,TRUE,83.8,70.3,74.4,0.403,0.435,0.42,57,66.7,16.2,12.5,0.339,17,31.1,0.323,0.424,26.3,91.2,0.283
Air Force,UC-Davis,74,80,12/21/2013,0,FALSE,FALSE,107.2,115.9,68.6,0.129,0.371,0.562,53.4,79.3,4.3,9.4,0.54,18.6,37.9,0.113,0.557,15.9,69,0.396
Air Force,Utah State,73,72,1/1/2014,0,FALSE,TRUE,112.3,110.8,65.3,0.511,0.34,0.625,52.8,58.3,6.2,10.3,0.574,19.6,28,0.404,0.571,15.3,75,0.143
Air Force,UNLV,75,68,1/4/2014,0,FALSE,FALSE,113.6,103,66.5,0.365,0.346,0.615,49.1,51.9,6.1,3.1,0.596,14.2,20,0.25,0.509,14.8,73.3,0.264
Air Force,Fresno State,65,71,1/8/2014,0,FALSE,FALSE,100,109.2,65.3,0.449,0.327,0.547,55.2,42.9,9.2,3.6,0.49,18.1,27.6,0.347,0.5,12.8,82.8,0.511
Air Force,San Diego State,72,79,1/12/2014,0,FALSE,TRUE,104.3,114.5,68.7,0.241,0.37,0.598,42.6,35.7,5.8,6.4,0.583,19,19.2,0.167,0.5,8.6,60,0.295
Air Force,San Jose State,77,62,1/15/2014,0,FALSE,TRUE,111.6,89.9,69.3,0.432,0.591,0.726,63,76,10.1,15.2,0.705,28.6,28.6,0.341,0.481,21.3,84.8,0.231
Air Force,Colorado State,68,74,1/18/2014,0,FALSE,FALSE,100,108.8,68.4,0.255,0.509,0.552,46,66.7,2.9,11.4,0.518,15.2,12.9,0.2,0.472,8.1,78.1,0.426
Air Force,Wyoming,59,66,1/22/2014,0,FALSE,TRUE,98.3,110,59.8,0.213,0.489,0.57,55.8,81,3.3,3.6,0.543,23.7,29.2,0.17,0.538,15,89.5,0.575
Air Force,Boise State,58,69,1/29/2014,0,FALSE,FALSE,98.3,116.9,59.2,0.535,0.14,0.538,40.8,52.4,6.8,9.7,0.523,15.8,16.7,0.302,0.52,12,64,0.367
Air Force,Nevada,56,69,2/1/2014,1,FALSE,FALSE,77.8,95.8,64.1,0.333,0.556,0.384,44.6,72.2,9.7,8.3,0.333,13.2,21.7,0.222,0.455,15.1,73,0.321
Air Force,Fresno State,51,68,2/5/2014,0,FALSE,TRUE,77.3,103,65.7,0.234,0.532,0.488,47.6,83.3,10.6,9.4,0.479,27.8,23.3,0.128,0.5,14.6,69.7,0.172
Air Force,Colorado State,56,68,2/8/2014,0,FALSE,TRUE,94.9,115.3,59.2,0.24,0.46,0.503,28.8,71.4,13.6,24.1,0.48,14,20,0.16,0.467,20.9,37.9,0.543
Air Force,San Jose State,51,48,2/12/2014,0,FALSE,FALSE,79.7,75,63.9,0.172,0.379,0.406,43.3,68.4,12.5,17.1,0.388,17.2,31.4,0.103,0.349,22.2,56.3,0.208
Air Force,San Diego State,56,64,2/15/2014,0,FALSE,FALSE,94.9,108.5,58.7,0.196,0.357,0.457,48.4,61.9,6.8,9.4,0.42,10.3,29,0.161,0.478,11.9,67.7,0.467
Air Force,Nevada,56,75,2/22/2014,0,FALSE,TRUE,90.3,121,61.9,0.25,0.417,0.417,42.9,63.6,8.1,9.4,0.408,10.7,30,0.117,0.596,13.2,65.2,0.25
Air Force,Wyoming,55,53,2/25/2014,0,FALSE,FALSE,84.6,81.5,64.5,0.511,0.489,0.492,55.9,35.3,7.7,3.3,0.433,21.4,20.7,0.356,0.44,13.5,90,0.18
Air Force,UNLV,67,93,3/1/2014,0,FALSE,TRUE,95.7,132.9,70.3,0.313,0.453,0.456,33.8,60.9,10,5.4,0.43,9.9,22.2,0.188,0.727,19.1,56.5,0.236
Air Force,New Mexico,52,80,3/5/2014,0,FALSE,FALSE,72.2,111.1,72.4,0.164,0.491,0.439,38.3,52.6,9.7,6.1,0.409,21.3,9.1,0.127,0.567,15.2,74.1,0.2
Air Force,Boise State,64,61,3/8/2014,1,FALSE,TRUE,100,95.3,56.8,0.442,0.385,0.509,54.5,54.5,6.3,10.5,0.471,16.2,31,0.288,0.441,11.3,73,0.314
Air Force,Fresno State,59,61,3/12/2014,0,TRUE,TRUE,92.2,95.3,64.3,0.578,0.333,0.514,50.8,65,3.1,8.6,0.489,16.3,18.5,0.333,0.38,10.8,73.7,0.37
Akron,Coastal Carolina,72,63,11/8/2013,0,FALSE,TRUE,93.5,81.8,77.5,0.441,0.373,0.505,51.6,40,16.9,11.1,0.483,19.4,32.1,0.254,0.441,23,66.7,0.186
Akron,Saint Mary's (CA),63,85,11/12/2013,0,FALSE,FALSE,88.7,119.7,70.9,0.509,0.263,0.445,57.6,38.1,11.3,0,0.386,21.4,45.7,0.333,0.564,13.7,75,0.681
Akron,Middle Tennessee,73,80,11/16/2013,0,FALSE,FALSE,100,109.6,72.6,0.316,0.404,0.557,46.4,29.6,15.1,8.1,0.535,20.8,31.3,0.211,0.625,22.6,66.7,0.417
Akron,Cleveland State,73,61,12/7/2013,0,FALSE,FALSE,104.3,87.1,69.7,0.385,0.423,0.593,53.7,64,8.6,14.3,0.587,19.8,20,0.231,0.479,18.1,82.8,0.313
Akron,Bethune-Cookman,84,56,12/14/2013,0,FALSE,TRUE,131.3,87.5,64.4,0.696,0.457,0.686,54.7,63,10.9,20,0.696,15.5,39.1,0.435,0.426,17.4,66.7,0.185
Akron,Oral Roberts,74,64,12/16/2013,0,FALSE,TRUE,100,86.5,74.3,0.561,0.281,0.512,50.7,48,8.1,8.2,0.491,14.4,36.1,0.316,0.435,23.2,67.7,0.315
Akron,Detroit,79,60,12/18/2013,0,FALSE,TRUE,121.5,92.3,64.7,0.481,0.389,0.595,60.9,53.8,6.2,16.3,0.583,15.5,45.2,0.296,0.418,9.4,73.7,0.148
Akron,Oregon State,83,71,12/22/2013,0,TRUE,TRUE,120.3,102.9,69.5,0.5,0.448,0.578,57.7,50,4.3,15.8,0.534,9,32.1,0.362,0.458,12.7,87.5,0.563
Akron,Iowa State,60,83,12/23/2013,0,TRUE,TRUE,93.8,129.7,63.9,0.094,0.547,0.449,42.9,37.5,7.8,2.7,0.461,14.2,33.3,0.016,0.616,14.9,55.6,0.25
Akron,South Carolina,59,69,12/25/2013,0,TRUE,TRUE,85.5,100,69,0.328,0.293,0.44,50,45.5,7.2,15.7,0.422,19.4,40.5,0.172,0.433,12.6,63,0.283
