team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Akron,UC Irvine,88,80,2016-12-21,0,True,False,129.4,117.6,68.1,.481,.574,.663,42.6,51.9,10.3,0.0,.639,9.7,20.7,.352,.535,16.2,62.5,.333
Akron,Maryland-Eastern Shore,76,60,2016-12-22,0,True,False,118.8,93.8,63.4,.193,.474,.611,61.9,63.3,3.1,10.5,.614,18.5,42.9,.105,.441,9.9,77.1,.136
Akron,Bowling Green,89,84,2017-01-03,0,False,False,125.4,118.3,71.2,.491,.415,.681,59.6,63.3,2.8,6.7,.660,19.9,40.9,.358,.574,11.6,73.3,.230
Akron,Western Michigan,66,59,2017-01-06,0,False,False,100.0,89.4,65.7,.268,.518,.523,54.5,64.0,4.5,2.4,.509,16.1,26.7,.161,.474,12.5,77.8,.088
Akron,Central Michigan,89,85,2017-01-10,0,False,True,120.3,114.9,73.8,.294,.515,.574,57.4,45.2,12.2,15.2,.566,11.5,37.8,.176,.600,15.1,80.6,.217
Akron,Miami (OH),74,70,2017-01-14,0,False,True,108.8,102.9,67.8,.638,.511,.604,44.8,45.5,19.1,10.8,.574,17.8,20.0,.426,.500,18.9,64.9,.321
Akron,Ohio,83,68,2017-01-17,0,False,False,122.1,100.0,67.9,.250,.339,.662,56.7,61.3,5.9,10.6,.634,15.0,28.0,.214,.484,10.4,77.1,.111
Akron,Eastern Michigan,70,63,2017-01-20,0,False,False,93.3,84.0,75.3,.704,.481,.486,44.1,69.6,9.3,4.3,.491,12.4,16.2,.315,.413,13.6,77.4,.175
Akron,Western Michigan,90,80,2017-01-24,0,False,True,125.0,111.1,71.9,.509,.434,.684,46.0,51.7,2.8,9.4,.660,11.0,12.0,.377,.471,5.9,68.4,.217
Akron,Buffalo,91,90,2017-01-28,0,False,False,123.0,121.6,74.5,.702,.544,.599,54.1,55.6,2.7,2.5,.570,8.6,26.7,.456,.613,8.8,80.6,.226
Akron,Northern Illinois,76,73,2017-01-31,0,False,True,110.1,105.8,69.3,.351,.491,.571,44.8,50.0,15.9,7.3,.553,10.8,16.1,.228,.604,21.4,77.8,.170
Akron,Ohio,70,85,2017-02-04,0,False,True,95.9,116.4,73.3,.242,.561,.476,53.1,40.0,6.8,7.7,.447,12.0,27.0,.167,.573,13.4,88.9,.625
Alabama A&M,Missouri State,62,96,2016-11-11,0,False,True,96.9,150.0,64.0,.259,.259,.511,41.5,52.2,4.7,2.6,.472,16.6,30.0,.204,.708,8.1,56.5,.062
Alabama A&M,Missouri,44,99,2016-11-13,0,False,True,62.9,141.4,69.9,.250,.217,.328,38.2,25.0,7.1,2.5,.275,16.3,25.6,.183,.696,11.3,60.0,.375
