team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Air Force,Boise State,42,67,2015-02-11,0,False,True,72.4,115.5,58.2,.341,.390,.441,42.6,52.9,6.9,0.0,.463,22.7,16.7,.098,.560,15.2,75.0,.220
Air Force,UNLV,76,75,2015-02-14,0,False,False,120.6,119.0,63.3,.356,.424,.551,40.9,96.0,11.1,3.3,.525,6.8,28.9,.237,.591,19.8,57.1,.182
Air Force,Colorado State,53,66,2015-02-21,0,False,True,80.3,100.0,66.0,.137,.314,.488,38.6,63.6,12.1,3.2,.500,21.6,10.7,.039,.509,19.8,65.5,.226
Air Force,Nevada,75,70,2015-02-25,0,False,False,113.6,106.1,66.4,.767,.279,.639,45.9,78.3,7.6,8.8,.605,19.3,29.2,.535,.538,19.2,56.8,.269
Air Force,Utah State,60,74,2015-02-28,0,False,False,90.9,112.1,65.6,.226,.339,.437,45.3,40.0,10.6,4.2,.435,9.3,23.1,.097,.560,14.4,80.0,.360
Air Force,Fresno State,66,68,2015-03-04,0,False,True,100.0,103.0,66.2,.164,.328,.502,46.8,64.3,9.1,0.0,.500,9.6,16.7,.082,.528,15.2,75.0,.204
Air Force,New Mexico,68,61,2015-03-11,0,True,False,107.9,96.8,62.5,.320,.420,.590,41.8,66.7,14.3,4.3,.560,16.0,25.0,.240,.500,23.5,54.8,.271
Air Force,Boise State,68,80,2015-03-12,0,True,False,106.3,125.0,64.3,.362,.255,.617,53.1,53.8,7.8,4.5,.596,22.5,29.2,.255,.620,14.2,76.0,.360
Akron,UMBC,74,57,2014-11-14,0,False,False,110.4,85.1,66.6,.396,.566,.588,50.8,68.0,10.4,13.9,.585,16.0,29.0,.226,.448,18.6,73.3,.292
Akron,USC,66,46,2014-11-20,0,True,False,100.0,69.7,66.3,.217,.450,.499,49.3,58.3,15.2,14.6,.467,15.4,33.3,.167,.302,20.1,64.9,.264
Akron,Miami,51,79,2014-11-21,0,True,False,85.0,131.7,60.0,.117,.300,.403,36.5,65.0,5.0,10.8,.392,11.2,26.3,.067,.667,15.6,52.0,.130
Akron,South Carolina,68,63,2014-11-23,0,True,False,94.4,87.5,71.7,.540,.400,.541,40.0,28.6,8.3,11.1,.460,19.3,20.0,.440,.406,17.9,55.0,.172
Akron,Penn State,72,78,2014-11-25,0,False,True,101.4,109.9,71.2,.274,.371,.514,44.6,29.2,7.0,15.8,.452,11.4,23.5,.258,.518,14.8,67.7,.333
Akron,Bryant,72,66,2014-11-30,0,False,False,105.9,97.1,67.5,.442,.442,.572,56.9,54.2,5.9,15.6,.548,17.1,30.0,.288,.458,10.6,80.0,.183
Akron,Arkansas-Pine Bluff,81,60,2014-12-02,0,False,False,112.5,83.3,72.4,.661,.446,.550,63.5,75.0,11.1,9.8,.509,16.0,45.2,.429,.465,20.7,81.3,.123
Akron,Western Illinois,73,49,2014-12-04,0,False,False,110.6,74.2,66.0,.327,.600,.574,56.7,83.3,10.6,27.3,.555,12.4,20.7,.218,.396,16.1,90.3,.229
Akron,Middle Tennessee,61,62,2014-12-13,0,False,False,98.4,100.0,61.7,.426,.447,.540,47.9,63.2,6.5,10.0,.489,16.3,18.5,.319,.613,21.9,85.7,.325
Akron,North Dakota State,46,55,2014-12-16,0,False,True,79.3,94.8,58.3,.228,.333,.364,49.3,35.3,10.3,8.1,.342,14.8,37.5,.123,.373,11.7,64.5,.333
Akron,Marshall,70,63,2014-12-30,0,False,False,95.9,86.3,72.9,.281,.500,.482,57.4,52.2,16.4,20.0,.453,19.0,41.5,.188,.528,24.3,81.5,.132
