team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Akron,UC Santa Barbara,84,70,2015-12-21,0,True,False,115.1,95.9,73.3,.375,.571,.637,41.4,63.0,9.6,11.1,.616,14.4,13.3,.268,.527,23.4,71.4,.196
Akron,Iona,78,64,2015-12-23,0,True,False,113.0,92.8,68.7,.143,.524,.580,57.1,34.5,7.2,5.9,.563,17.3,39.4,.111,.491,17.3,76.7,.204
Akron,South Carolina State,78,68,2015-12-30,0,False,False,111.4,97.1,69.9,.615,.442,.580,58.1,68.2,5.7,2.1,.500,14.3,31.0,.500,.492,11.8,81.8,.150
Akron,Lipscomb,80,73,2016-01-02,0,False,False,106.7,97.3,75.3,.364,.485,.517,45.5,73.1,8.0,11.8,.492,3.8,17.5,.227,.478,15.1,75.7,.118
Akron,Buffalo,75,71,2016-01-05,0,False,True,111.9,106.0,67.3,.266,.578,.520,49.3,65.4,3.0,5.1,.500,10.1,31.0,.172,.500,14.5,72.7,.291
Akron,Western Michigan,62,53,2016-01-08,0,False,False,95.4,81.5,64.9,.585,.547,.458,42.5,50.0,9.2,10.6,.425,9.5,30.3,.321,.333,16.0,51.1,.136
Akron,Central Michigan,81,92,2016-01-12,0,False,True,109.5,124.3,73.8,.159,.435,.546,50.0,43.8,4.1,6.5,.551,10.9,27.8,.072,.508,3.7,75.0,.379
Akron,Toledo,64,78,2016-01-15,0,False,True,94.1,114.7,68.2,.241,.500,.495,43.5,54.2,2.9,11.4,.474,14.6,17.1,.155,.596,9.8,77.8,.308
Akron,Eastern Michigan,92,88,2016-01-19,0,False,False,126.0,120.5,73.0,.655,.473,.638,51.9,69.2,5.5,12.2,.591,12.4,32.1,.491,.595,11.4,73.1,.328
Akron,Miami (OH),75,46,2016-01-23,0,False,False,119.0,73.0,62.5,.167,.481,.644,47.1,65.4,4.8,14.6,.611,12.1,12.5,.167,.422,19.3,77.8,.059
Akron,Northern Illinois,76,66,2016-01-26,0,False,False,107.0,93.0,71.4,.795,.705,.627,46.3,78.9,9.9,17.1,.568,18.0,16.0,.591,.483,18.6,72.4,.172
Akron,Ball State,73,64,2016-01-30,0,False,True,110.6,97.0,65.8,.300,.480,.639,57.1,69.2,15.2,16.7,.620,20.9,28.0,.220,.633,26.0,87.5,.041
Akron,Ohio,80,68,2016-02-02,0,False,True,109.6,93.2,73.0,.328,.438,.541,47.9,40.7,12.3,10.8,.492,9.8,21.1,.266,.491,16.4,77.1,.211
Akron,Central Michigan,92,87,2016-02-05,0,False,False,133.3,126.1,69.4,.410,.525,.631,52.1,70.0,4.3,8.8,.623,10.0,34.3,.262,.515,5.0,69.4,.288
Akron,Bowling Green,83,68,2016-02-09,0,False,True,118.6,97.1,70.1,.263,.561,.647,58.6,57.1,8.6,10.3,.632,17.0,25.0,.193,.528,13.8,90.0,.204
Akron,Northern Illinois,79,80,2016-02-13,0,False,True,111.3,112.7,71.3,.296,.630,.641,47.1,57.7,4.2,8.7,.620,17.6,19.4,.222,.486,8.2,69.2,.188
Akron,Buffalo,80,70,2016-02-16,0,False,False,111.1,97.2,72.0,.333,.508,.548,40.3,53.8,12.5,17.1,.516,12.2,29.4,.238,.465,19.2,53.6,.298
Akron,Kent State,76,85,2016-02-19,0,False,True,107.0,119.7,71.2,.164,.493,.526,47.1,30.0,7.0,2.1,.522,13.3,30.6,.090,.543,11.1,64.7,.379
Akron,Miami (OH),64,77,2016-02-23,0,False,True,94.1,113.2,68.3,.189,.396,.554,47.4,29.2,4.4,10.5,.538,21.8,13.8,.132,.528,9.8,82.1,.370
Akron,Bowling Green,89,54,2016-02-26,0,False,False,123.6,75.0,71.7,.154,.631,.638,60.3,67.7,15.3,8.8,.623,12.6,25.0,.123,.469,22.2,93.3,.188
Akron,Ohio,91,76,2016-03-01,0,False,False,128.2,107.0,71.2,.149,.581,.574,64.2,56.3,5.6,5.4,.568,9.2,41.2,.095,.532,8.2,87.9,.161
Akron,Kent State,74,60,2016-03-04,0,False,False,104.2,84.5,70.6,.275,.478,.474,48.8,42.3,14.1,4.7,.428,8.3,33.3,.217,.410,18.0,65.0,.164
Akron,Eastern Michigan,65,63,2016-03-10,0,True,False,97.0,94.0,66.8,.355,.532,.449,46.3,47.6,6.0,6.8,.411,6.5,23.3,.226,.422,13.2,73.0,.241
Akron,Bowling Green,80,66,2016-03-11,0,True,False,115.9,95.7,68.7,.377,.453,.640,41.1,44.8,4.3,12.5,.632,12.7,14.8,.245,.414,15.1,65.5,.310
Akron,Buffalo,61,64,2016-03-12,0,True,False,91.0,95.5,67.4,.034,.559,.509,38.2,73.9,10.4,9.1,.500,16.7,9.4,.034,.459,17.8,63.9,.131
Akron,Ohio State,63,72,2016-03-15,1,False,True,85.1,97.3,65.5,.286,.600,.396,44.1,43.5,8.1,8.7,.393,9.2,29.6,.114,.381,13.5,64.1,.313
Alabama A&M,Tulane,68,67,2015-11-13,1,False,True,91.9,90.5,66.0,.266,.453,.472,43.1,40.0,16.2,3.3,.453,16.4,26.5,.156,.447,20.8,57.9,.281
Alabama A&M,Southeast Missouri State,74,56,2015-11-19,0,False,False,102.8,77.8,72.2,.345,.466,.548,41.2,74.1,8.3,4.5,.534,15.2,18.8,.207,.411,22.6,61.1,.179
Alabama A&M,Jacksonville State,73,69,2015-11-24,0,False,True,109.0,103.0,66.8,.295,.393,.525,54.7,48.1,4.5,5.0,.500,15.9,40.6,.197,.466,8.2,68.8,.237
Alabama A&M,Murray State,61,63,2015-11-28,0,False,True,91.0,94.0,67.1,.196,.411,.498,50.8,65.2,14.9,5.4,.464,20.8,35.7,.161,.420,17.5,62.2,.286
Alabama A&M,Saint Louis,58,75,2015-12-12,0,False,True,78.4,101.4,73.8,.288,.356,.432,40.5,63.6,14.9,11.1,.432,18.4,20.0,.119,.491,20.1,64.7,.310
Alabama A&M,Western Kentucky,70,79,2015-12-16,0,False,True,107.7,121.5,64.6,.221,.412,.466,47.9,56.0,7.7,6.7,.449,8.6,38.6,.132,.500,10.8,62.1,.580
Alabama A&M,Evansville,70,91,2015-12-22,0,False,True,92.1,119.7,76.2,.297,.266,.479,36.4,46.2,10.5,2.3,.438,15.2,19.4,.219,.706,21.6,68.4,.373
