Rank Team                           EM     ORTG     DRTG
217  Hampton                     -4.58    98.28   102.85
218  Drexel                      -4.61    94.10    98.71
219  Cal State Fullerton         -4.67    95.81   100.47
220  New Orleans                 -4.77    98.79   103.57
221  Campbell                    -4.92   104.15   109.07
222  Florida Atlantic            -4.99    94.38    99.37
223  Wofford                     -5.07   106.56   111.63
224  Texas State                 -5.09    95.12   100.21
225  William & Mary              -5.13   111.74   116.87
226  Saint Louis                 -5.20    90.20    95.40
227  UC Irvine                   -5.31    96.45   101.76
228  Western Illinois            -5.44    92.43    97.87
229  Chattanooga                 -5.54    92.62    98.17
230  Drake                       -5.63   102.80   108.43
231  NJIT                        -5.94    95.66   101.60
232  Niagara                     -6.12   108.29   114.41
233  Eastern Illinois            -6.25    97.55   103.80
234  Lehigh                      -6.33    99.85   106.18
235  Seattle                     -6.44   101.92   108.36
236  UMKC                        -6.61    93.88   100.48
237  Columbia                    -6.67   101.60   108.27
238  UT Rio Grande Valley        -6.68    97.13   103.81
239  Kent State                  -6.70    97.31   104.01
240  Northern Illinois           -6.82    99.61   106.43
241  Southeastern Louisiana      -7.00    97.13   104.13
242  George Mason                -7.11    91.16    98.28
243  North Carolina Central      -7.14    99.98   107.11
244  South Alabama               -7.38    88.40    95.78
245  Fordham                     -7.52    91.75    99.27
246  Colorado State              -7.87    95.51   103.38
247  Cornell                     -7.88   100.74   108.62
248  Nicholls                    -7.95    95.29   103.24
249  UTEP                        -7.97    89.18    97.15
250  Louisiana Monroe            -8.01   100.28   108.28
251  Oral Roberts                -8.14   101.78   109.92
252  Bowling Green               -8.28   101.57   109.85
253  Cleveland State             -8.40    93.48   101.88
254  Houston Baptist             -8.42   101.63   110.04
255  James Madison               -8.45   101.42   109.87
256  Central Arkansas            -8.45   100.40   108.85
257  Long Beach State            -8.67   100.25   108.92
258  Boston University           -8.70    99.97   108.68
259  UIC                         -8.75    88.76    97.52
260  Miami (OH)                  -8.78    92.09   100.87
261  Akron                       -9.16    93.24   102.40
262  Idaho State                 -9.31    94.44   103.75
263  Santa Clara                 -9.47   101.83   111.30
264  Air Force                   -9.54    92.22   101.76
265  New Hampshire               -9.62    93.73   103.35
266  Southern Mississippi        -9.71    98.55   108.26
267  Elon                        -9.73    96.52   106.25
268  Siena                       -9.74    98.68   108.42
269  South Florida              -10.10    90.12   100.21
270  Morgan State               -10.22    91.89   102.11
271  High Point                 -10.30    93.06   103.35
272  Charlotte                  -10.38    92.39   102.77
273  LIU Brooklyn               -10.40    97.07   107.47
274  Texas A&M-CC               -10.46    89.58   100.04
275  North Florida              -10.48    98.29   108.77
276  Denver                     -10.57    95.92   106.49
277  UMass Lowell               -10.60    99.62   110.22
278  Delaware                   -11.10    98.93   110.03
279  North Carolina A&T         -11.23    95.83   107.07
280  Grambling                  -11.53    95.19   106.71
281  Loyola (MD)                -11.71    90.23   101.94
282  Rice                       -11.72    86.19    97.91
283  Arkansas State             -11.86    95.23   107.09
284  Pepperdine                 -11.99   101.43   113.42
285  UC Riverside               -12.12    83.02    95.14
286  Cal Poly                   -12.13    96.37   108.50
287  UT Martin                  -12.57    94.82   107.39
288  Richmond                   -12.58    93.85   106.43
289  Portland                   -12.67    98.13   110.81
290  Western Carolina           -12.70    95.48   108.17
291  Gardner-Webb               -12.72    92.25   104.96
292  Dartmouth                  -12.87    98.08   110.95
293  Green Bay                  -12.98    86.16    99.14
294  Kennesaw State             -13.08    91.94   105.03
295  Omaha                      -13.18    96.65   109.83
296  East Carolina              -13.24    86.85   100.10
297  VMI                        -13.37    89.30   102.66
298  IUPUI                      -13.42    99.25   112.68
299  Stetson                    -13.47    95.35   108.82
300  Quinnipiac                 -13.58    97.60   111.18
301  San Jose State             -14.12    88.05   102.17
302  Sam Houston State          -14.16    88.22   102.38
303  St Francis (BKN)           -14.27    88.90   103.16
304  UNC Wilmington             -14.47    98.40   112.87
305  Lafayette                  -14.48    96.72   111.19
306  Hartford                   -14.82    93.72   108.54
307  Samford                    -14.98   101.38   116.36
308  Holy Cross                 -15.43    95.15   110.58
309  North Dakota               -15.51    94.93   110.45
310  Presbyterian College       -15.61    99.76   115.37
311  Detroit Mercy              -15.72    98.72   114.43
312  Incarnate Word             -15.78    91.90   107.68
313  Fairleigh Dickinson        -16.07    93.38   109.45
314  SIU Edwardsville           -16.16    97.23   113.39
315  Eastern Kentucky           -16.21    95.50   111.71
316  Sacred Heart               -16.53    85.93   102.45
317  Howard                     -16.94    89.79   106.72
318  Marist                     -16.94    96.89   113.83
319  Bethune-Cookman            -16.96    91.83   108.79
320  Mount St Mary's            -17.04    95.34   112.38
321  American                   -17.16    94.87   112.02
322  Southern                   -17.22    93.35   110.57
323  Sacramento State           -17.58    85.73   103.31
324  Savannah State             -17.91    95.01   112.91
325  Morehead State             -18.04    88.10   106.14
326  Maine                      -18.55    83.82   102.37
327  South Carolina Upstate     -18.65   100.77   119.42
328  Northern Arizona           -18.79    87.35   106.14
329  Little Rock                -19.84    82.61   102.44
330  The Citadel                -19.98    90.05   110.03
331  Charleston Southern        -20.33    90.96   111.29
332  Coppin State               -20.40    81.05   101.45
333  Jackson State              -21.51    88.49   110.00
334  Florida A&M                -21.83    89.90   111.73
335  Arkansas-Pine Bluff        -21.98    86.41   108.39
336  Jacksonville               -22.40    87.97   110.37
337  McNeese                    -22.45    88.19   110.63
338  Bryant                     -22.64    93.81   116.44
339  CSU Northridge             -23.04    91.15   114.19
340  Northwestern State         -23.93    84.46   108.39
341  Alcorn State               -24.46    89.71   114.17
342  Norfolk State              -24.60    86.79   111.40
343  Youngstown State           -24.90    89.02   113.92
344  Alabama State              -25.20    88.58   113.78
345  Longwood                   -25.56    80.23   105.79
346  Mississippi Valley State   -26.80    85.85   112.65
347  South Carolina State       -26.97    86.80   113.77
348  Alabama A&M                -29.65    83.18   112.83
349  Chicago State              -33.61    82.36   115.96
350  Delaware State             -33.83    87.32   121.15
351  Maryland-Eastern Shore     -36.30    79.97   116.27
