Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
Fresno St,0.214,0.312,0.254,0.344,0.33,0.28,0.726,0.13,0.183
Furman,0.226,0.268,0.302,0.319,0.35,0.301,0.734,0.177,0.168
GA Southern,0.22,0.302,0.36,0.333,0.338,0.262,0.671,0.14,0.169
GA Tech,0.187,0.242,0.242,0.357,0.32,0.363,0.758,0.139,0.128
Gard-Webb,0.193,0.277,0.34,0.336,0.347,0.296,0.723,0.158,0.163
Geo Mason,0.204,0.238,0.241,0.292,0.353,0.32,0.794,0.156,0.09
Geo Wshgtn,0.225,0.202,0.281,0.371,0.33,0.32,0.743,0.141,0.152
Georgetown,0.218,0.343,0.322,0.339,0.349,0.264,0.734,0.166,0.14
Georgia,0.243,0.298,0.275,0.368,0.331,0.296,0.724,0.163,0.134
Georgia St,0.211,0.282,0.231,0.348,0.328,0.222,0.703,0.16,0.183
Gonzaga,0.191,0.216,0.296,0.379,0.303,0.301,0.758,0.147,0.13
Grambling St,0.246,0.287,0.249,0.274,0.332,0.223,0.693,0.193,0.172
Grand Canyon,0.224,0.25,0.246,0.356,0.317,0.301,0.743,0.145,0.166
Hampton,0.224,0.258,0.263,0.305,0.338,0.325,0.743,0.157,0.146
Hartford,0.202,0.29,0.402,0.354,0.347,0.172,0.642,0.149,0.153
Harvard,0.152,0.248,0.334,0.391,0.314,0.275,0.739,0.186,0.146
Hawaii,0.232,0.279,0.278,0.322,0.3,0.29,0.759,0.156,0.175
High Point,0.204,0.23,0.239,0.382,0.347,0.304,0.694,0.137,0.18
Hofstra,0.21,0.186,0.327,0.356,0.353,0.305,0.724,0.143,0.14
Holy Cross,0.206,0.238,0.332,0.326,0.357,0.206,0.721,0.149,0.171
Houston,0.189,0.261,0.261,0.348,0.303,0.35,0.693,0.129,0.155
Houston Bap,0.245,0.268,0.241,0.355,0.363,0.277,0.695,0.186,0.143
Howard,0.287,0.262,0.188,0.295,0.335,0.306,0.665,0.173,0.159
Idaho,0.244,0.288,0.267,0.364,0.343,0.323,0.763,0.195,0.167
Idaho State,0.219,0.256,0.314,0.356,0.341,0.218,0.731,0.163,0.152
IL-Chicago,0.243,0.288,0.2,0.304,0.364,0.296,0.722,0.179,0.135
Illinois,0.185,0.197,0.339,0.363,0.386,0.187,0.729,0.134,0.169
Illinois St,0.179,0.267,0.332,0.333,0.319,0.278,0.736,0.159,0.178
Incarnate Word,0.215,0.27,0.35,0.389,0.359,0.192,0.719,0.161,0.159
Indiana,0.174,0.221,0.358,0.415,0.343,0.36,0.733,0.166,0.165
Indiana St,0.244,0.305,0.288,0.299,0.324,0.243,0.761,0.162,0.157
Iona,0.176,0.261,0.373,0.37,0.358,0.281,0.714,0.153,0.166
Iowa,0.187,0.188,0.315,0.374,0.313,0.297,0.702,0.126,0.16
Iowa State,0.138,0.191,0.307,0.387,0.335,0.248,0.715,0.141,0.145
IPFW,0.182,0.226,0.398,0.403,0.387,0.248,0.763,0.151,0.138
IUPUI,0.194,0.277,0.255,0.333,0.338,0.254,0.739,0.165,0.159
Jackson St,0.173,0.322,0.294,0.308,0.315,0.303,0.748,0.149,0.179
Jacksonville,0.174,0.245,0.339,0.389,0.366,0.248,0.763,0.138,0.154
James Mad,0.197,0.272,0.343,0.35,0.287,0.282,0.748,0.149,0.134
Jksnville St,0.197,0.299,0.357,0.345,0.333,0.252,0.673,0.141,0.159
Kansas,0.198,0.266,0.292,0.413,0.325,0.304,0.741,0.154,0.159
Kansas St,0.235,0.276,0.225,0.3,0.31,0.359,0.705,0.17,0.18
Kennesaw St,0.194,0.277,0.245,0.351,0.345,0.259,0.676,0.163,0.154
Kent State,0.217,0.257,0.238,0.328,0.359,0.344,0.745,0.147,0.148
Kentucky,0.196,0.291,0.256,0.366,0.326,0.361,0.7,0.137,0.15
LA Lafayette,0.232,0.258,0.249,0.311,0.378,0.366,0.757,0.146,0.145
LA Monroe,0.182,0.244,0.275,0.345,0.327,0.29,0.694,0.157,0.145
La Salle,0.178,0.251,0.392,0.336,0.381,0.218,0.681,0.165,0.163
LA Tech,0.219,0.245,0.269,0.333,0.32,0.262,0.725,0.148,0.163
Lafayette,0.178,0.258,0.343,0.365,0.357,0.201,0.676,0.163,0.143
Lamar,0.23,0.318,0.265,0.326,0.356,0.321,0.7,0.174,0.168
Lehigh,0.176,0.211,0.304,0.393,0.367,0.27,0.729,0.167,0.161
Lg Beach St,0.207,0.272,0.333,0.367,0.35,0.265,0.718,0.15,0.172
Liberty,0.149,0.303,0.42,0.361,0.364,0.182,0.709,0.196,0.157
Lipscomb,0.19,0.259,0.376,0.35,0.37,0.248,0.716,0.164,0.154
LIU-Brooklyn,0.236,0.267,0.227,0.297,0.37,0.316,0.698,0.158,0.17
Longwood,0.182,0.265,0.272,0.346,0.382,0.28,0.732,0.179,0.152
Louisville,0.175,0.275,0.24,0.347,0.321,0.372,0.726,0.144,0.186
Loyola Mymt,0.178,0.291,0.308,0.338,0.378,0.274,0.696,0.14,0.175
Loyola-Chi,0.198,0.251,0.292,0.353,0.349,0.191,0.729,0.168,0.193
Loyola-MD,0.222,0.292,0.231,0.304,0.372,0.292,0.709,0.163,0.147
LSU,0.219,0.242,0.234,0.327,0.35,0.289,0.716,0.14,0.162
Maine,0.176,0.264,0.3,0.339,0.369,0.247,0.696,0.182,0.182
Manhattan,0.227,0.309,0.326,0.361,0.337,0.215,0.687,0.184,0.197
Marist,0.21,0.267,0.347,0.342,0.382,0.228,0.692,0.153,0.146
Marquette,0.221,0.208,0.231,0.339,0.343,0.264,0.708,0.172,0.16
Marshall,0.166,0.261,0.351,0.337,0.374,0.246,0.711,0.145,0.147
Maryland,0.205,0.205,0.3,0.362,0.321,0.265,0.73,0.168,0.143
Maryland BC,0.223,0.272,0.281,0.331,0.38,0.215,0.714,0.156,0.17
Maryland ES,0.212,0.334,0.279,0.324,0.353,0.286,0.72,0.203,0.167
Massachusetts Lowell,0.174,0.272,0.327,0.362,0.371,0.233,0.688,0.19,0.166
McNeese St,0.211,0.275,0.296,0.332,0.373,0.269,0.687,0.154,0.138
Memphis,0.247,0.27,0.237,0.324,0.305,0.3,0.723,0.14,0.163
Mercer,0.194,0.245,0.267,0.353,0.36,0.351,0.744,0.161,0.141
Miami (FL),0.22,0.218,0.275,0.375,0.344,0.289,0.732,0.145,0.151
Miami (OH),0.226,0.268,0.258,0.308,0.359,0.261,0.706,0.16,0.179
Michigan,0.159,0.202,0.39,0.38,0.347,0.229,0.756,0.126,0.154
Michigan St,0.163,0.258,0.345,0.434,0.31,0.36,0.793,0.148,0.125
Middle Tenn,0.17,0.293,0.336,0.392,0.347,0.273,0.762,0.148,0.172
Minnesota,0.222,0.248,0.272,0.31,0.382,0.232,0.734,0.144,0.155
Miss State,0.171,0.261,0.291,0.334,0.343,0.282,0.694,0.156,0.157
Miss Val St,0.201,0.252,0.234,0.303,0.303,0.245,0.669,0.16,0.163
Mississippi,0.233,0.282,0.314,0.338,0.355,0.328,0.706,0.144,0.172
Missouri,0.229,0.293,0.247,0.31,0.336,0.251,0.72,0.159,0.14
Missouri St,0.224,0.249,0.237,0.32,0.372,0.259,0.744,0.162,0.154
Monmouth,0.228,0.263,0.296,0.366,0.314,0.258,0.712,0.143,0.172
Montana,0.193,0.311,0.314,0.373,0.33,0.262,0.765,0.161,0.166
Montana St,0.172,0.322,0.379,0.372,0.365,0.312,0.749,0.147,0.149
Morehead St,0.203,0.345,0.237,0.362,0.357,0.367,0.727,0.153,0.187
Morgan St,0.217,0.266,0.23,0.301,0.312,0.276,0.666,0.144,0.177
Mt St Marys,0.188,0.266,0.306,0.317,0.337,0.247,0.68,0.151,0.213
Murray St,0.191,0.283,0.316,0.361,0.361,0.278,0.752,0.156,0.171
N Arizona,0.219,0.249,0.32,0.334,0.399,0.206,0.715,0.161,0.154
N Carolina,0.186,0.224,0.203,0.327,0.362,0.4,0.734,0.127,0.157
N Colorado,0.237,0.333,0.262,0.364,0.388,0.251,0.749,0.174,0.154
N Dakota St,0.188,0.237,0.292,0.341,0.324,0.248,0.762,0.142,0.148
N Florida,0.153,0.212,0.434,0.409,0.346,0.221,0.695,0.136,0.123
N Hampshire,0.223,0.255,0.289,0.332,0.353,0.274,0.786,0.144,0.135
N Illinois,0.228,0.286,0.303,0.356,0.352,0.297,0.744,0.158,0.173
N Iowa,0.195,0.186,0.36,0.372,0.323,0.148,0.742,0.139,0.16
N Kentucky,0.174,0.305,0.332,0.353,0.368,0.246,0.714,0.169,0.136
N Mex State,0.199,0.216,0.219,0.325,0.335,0.354,0.767,0.17,0.142
Navy,0.211,0.276,0.189,0.31,0.351,0.304,0.763,0.17,0.175
NC A&T,0.224,0.334,0.28,0.318,0.338,0.284,0.699,0.168,0.156
NC Central,0.212,0.27,0.271,0.339,0.34,0.313,0.712,0.17,0.158
NC State,0.219,0.226,0.25,0.348,0.374,0.346,0.711,0.134,0.127
NC-Asheville,0.228,0.231,0.226,0.321,0.296,0.291,0.741,0.16,0.193
NC-Grnsboro,0.155,0.275,0.368,0.363,0.374,0.26,0.743,0.155,0.153
NC-Wilmgton,0.197,0.361,0.272,0.344,0.339,0.295,0.719,0.137,0.173
Neb Omaha,0.235,0.266,0.215,0.336,0.359,0.257,0.695,0.147,0.177
Nebraska,0.191,0.276,0.269,0.347,0.367,0.298,0.745,0.149,0.17
Nevada,0.258,0.285,0.204,0.291,0.323,0.297,0.728,0.151,0.149
New Mexico,0.238,0.266,0.242,0.363,0.325,0.283,0.721,0.186,0.147
New Orleans,0.248,0.289,0.211,0.325,0.37,0.328,0.675,0.167,0.183
Niagara,0.209,0.258,0.241,0.282,0.357,0.308,0.697,0.18,0.144
Nicholls St,0.22,0.282,0.286,0.309,0.359,0.235,0.67,0.195,0.155
NJIT,0.193,0.256,0.346,0.351,0.349,0.248,0.709,0.158,0.165
Norfolk St,0.249,0.294,0.297,0.347,0.38,0.295,0.686,0.152,0.162
North Dakota,0.209,0.269,0.258,0.367,0.344,0.221,0.764,0.162,0.174
North Texas,0.226,0.3,0.236,0.322,0.362,0.279,0.718,0.169,0.149
Northeastrn,0.213,0.21,0.366,0.372,0.339,0.243,0.727,0.16,0.149
Northwestern,0.153,0.257,0.362,0.358,0.345,0.28,0.734,0.135,0.142
Notre Dame,0.184,0.203,0.291,0.374,0.369,0.309,0.699,0.131,0.126
NW State,0.214,0.26,0.28,0.343,0.371,0.252,0.628,0.172,0.157
Oakland,0.233,0.239,0.314,0.398,0.349,0.299,0.715,0.132,0.142
Ohio,0.207,0.253,0.322,0.382,0.364,0.225,0.769,0.151,0.128
Ohio State,0.199,0.227,0.267,0.334,0.334,0.286,0.737,0.161,0.148
Oklahoma,0.18,0.213,0.389,0.422,0.337,0.299,0.719,0.157,0.152
Oklahoma St,0.224,0.291,0.289,0.328,0.342,0.267,0.698,0.165,0.148
Old Dominion,0.181,0.26,0.183,0.301,0.315,0.35,0.757,0.119,0.149
Oral Roberts,0.215,0.247,0.245,0.38,0.374,0.267,0.713,0.152,0.138
Oregon,0.216,0.229,0.266,0.344,0.362,0.32,0.714,0.137,0.175
Oregon St,0.201,0.275,0.286,0.374,0.324,0.267,0.695,0.143,0.166
Pacific,0.209,0.341,0.288,0.322,0.366,0.26,0.712,0.171,0.143
Penn State,0.205,0.303,0.3,0.317,0.366,0.27,0.743,0.146,0.153
Pepperdine,0.221,0.235,0.207,0.34,0.326,0.291,0.721,0.138,0.138
Pittsburgh,0.211,0.238,0.248,0.35,0.354,0.35,0.751,0.147,0.149
Portland,0.186,0.29,0.346,0.363,0.385,0.272,0.684,0.145,0.158
Portland St,0.179,0.236,0.203,0.315,0.383,0.256,0.713,0.153,0.166
Prairie View,0.231,0.309,0.203,0.272,0.306,0.279,0.649,0.186,0.198
Presbyterian,0.208,0.273,0.223,0.308,0.342,0.231,0.699,0.182,0.164
Princeton,0.183,0.228,0.364,0.381,0.354,0.267,0.747,0.142,0.16
Providence,0.22,0.204,0.29,0.321,0.323,0.284,0.727,0.14,0.179
Purdue,0.197,0.218,0.295,0.367,0.314,0.325,0.798,0.149,0.12
Quinnipiac,0.175,0.286,0.349,0.341,0.31,0.372,0.735,0.176,0.15
Radford,0.158,0.251,0.299,0.344,0.339,0.32,0.723,0.161,0.148
Rhode Island,0.2,0.279,0.288,0.365,0.333,0.287,0.774,0.15,0.167
Rice,0.233,0.263,0.285,0.319,0.417,0.252,0.691,0.158,0.16
Richmond,0.176,0.26,0.294,0.356,0.36,0.218,0.698,0.132,0.156
Rider,0.2,0.237,0.281,0.315,0.34,0.26,0.74,0.166,0.158
Rob Morris,0.203,0.231,0.256,0.276,0.335,0.235,0.668,0.177,0.186
Rutgers,0.204,0.225,0.223,0.322,0.374,0.219,0.66,0.166,0.135
S Alabama,0.218,0.277,0.283,0.319,0.322,0.283,0.701,0.176,0.153
S Car State,0.199,0.277,0.243,0.336,0.346,0.271,0.703,0.146,0.149
S Carolina,0.234,0.266,0.249,0.354,0.358,0.356,0.727,0.158,0.177
S Dakota St,0.226,0.285,0.303,0.361,0.333,0.298,0.765,0.147,0.151
S Florida,0.194,0.269,0.191,0.286,0.319,0.336,0.696,0.183,0.12
S Illinois,0.208,0.3,0.269,0.343,0.318,0.3,0.767,0.168,0.189
S Methodist,0.176,0.224,0.251,0.42,0.331,0.401,0.735,0.155,0.158
S Mississippi,0.205,0.278,0.42,0.359,0.355,0.208,0.716,0.181,0.153
S Utah,0.203,0.313,0.304,0.364,0.422,0.205,0.707,0.168,0.152
Sac State,0.192,0.274,0.283,0.331,0.325,0.243,0.707,0.146,0.151
Sacred Hrt,0.216,0.28,0.229,0.311,0.359,0.319,0.691,0.168,0.155
Saint Louis,0.218,0.277,0.283,0.328,0.328,0.183,0.735,0.177,0.162
Sam Hous St,0.205,0.306,0.323,0.341,0.356,0.271,0.768,0.146,0.167
Samford,0.24,0.297,0.218,0.322,0.368,0.276,0.695,0.17,0.179
San Diego,0.2,0.299,0.322,0.292,0.362,0.245,0.749,0.179,0.152
San Diego St,0.236,0.23,0.26,0.326,0.294,0.317,0.755,0.156,0.156
San Fransco,0.209,0.262,0.3,0.35,0.386,0.303,0.718,0.152,0.137
San Jose St,0.211,0.33,0.302,0.298,0.354,0.247,0.727,0.169,0.149
Santa Clara,0.201,0.269,0.339,0.348,0.343,0.219,0.717,0.15,0.144
Savannah St,0.228,0.276,0.308,0.311,0.342,0.227,0.716,0.193,0.193
SC Upstate,0.165,0.271,0.294,0.357,0.381,0.298,0.721,0.171,0.133
SE Louisiana,0.188,0.292,0.306,0.365,0.375,0.264,0.676,0.188,0.162
SE Missouri,0.206,0.232,0.229,0.288,0.347,0.269,0.711,0.171,0.162
Seattle,0.202,0.25,0.289,0.355,0.339,0.287,0.702,0.198,0.16
Seton Hall,0.211,0.244,0.245,0.347,0.317,0.337,0.722,0.163,0.167
Siena,0.22,0.276,0.243,0.368,0.321,0.372,0.726,0.187,0.149
SIU Edward,0.225,0.307,0.258,0.304,0.372,0.301,0.731,0.166,0.153
South Dakota,0.171,0.286,0.254,0.364,0.398,0.227,0.712,0.146,0.166
Southern,0.209,0.279,0.245,0.338,0.322,0.256,0.707,0.142,0.168
St Bonavent,0.22,0.266,0.319,0.373,0.32,0.294,0.686,0.142,0.161
St Fran (NY),0.208,0.252,0.337,0.303,0.331,0.304,0.719,0.173,0.16
St Fran (PA),0.217,0.225,0.309,0.358,0.321,0.299,0.706,0.157,0.141
St Johns,0.209,0.297,0.284,0.319,0.366,0.242,0.712,0.182,0.173
St Josephs,0.208,0.192,0.271,0.327,0.311,0.254,0.759,0.124,0.142
St Marys,0.146,0.188,0.349,0.41,0.327,0.281,0.753,0.135,0.135
St Peters,0.195,0.233,0.279,0.327,0.341,0.298,0.754,0.168,0.156
Stanford,0.246,0.28,0.245,0.318,0.369,0.29,0.704,0.15,0.17
Ste F Austin,0.19,0.261,0.301,0.369,0.328,0.327,0.717,0.151,0.227
Stetson,0.192,0.231,0.311,0.362,0.359,0.218,0.677,0.149,0.134
Stony Brook,0.171,0.205,0.255,0.372,0.341,0.342,0.764,0.145,0.162
Syracuse,0.195,0.206,0.365,0.36,0.307,0.319,0.666,0.152,0.17
Temple,0.162,0.218,0.337,0.337,0.312,0.272,0.721,0.117,0.138
Tennessee,0.205,0.271,0.295,0.327,0.342,0.305,0.682,0.135,0.147
Texas,0.21,0.274,0.296,0.341,0.345,0.299,0.701,0.132,0.158
Texas A&M,0.2,0.23,0.298,0.341,0.334,0.338,0.735,0.146,0.18
Texas State,0.214,0.251,0.217,0.321,0.351,0.289,0.731,0.152,0.181
Texas Tech,0.239,0.239,0.241,0.346,0.356,0.292,0.708,0.153,0.16
TN Martin,0.201,0.224,0.319,0.344,0.338,0.281,0.717,0.157,0.147
TN State,0.223,0.289,0.232,0.341,0.368,0.304,0.738,0.165,0.19
TN Tech,0.239,0.245,0.333,0.359,0.364,0.254,0.692,0.157,0.135
Toledo,0.196,0.213,0.316,0.363,0.389,0.253,0.767,0.147,0.153
Towson,0.244,0.291,0.232,0.321,0.351,0.372,0.754,0.148,0.156
Troy,0.208,0.255,0.304,0.312,0.362,0.261,0.695,0.145,0.151
Tulane,0.188,0.263,0.289,0.3,0.353,0.299,0.722,0.162,0.162
Tulsa,0.21,0.245,0.279,0.326,0.359,0.255,0.714,0.135,0.175
TX A&M-CC,0.221,0.299,0.267,0.341,0.352,0.291,0.689,0.152,0.192
TX Christian,0.251,0.282,0.254,0.335,0.348,0.278,0.706,0.179,0.182
TX El Paso,0.206,0.262,0.269,0.365,0.342,0.225,0.701,0.152,0.164
TX Southern,0.202,0.19,0.277,0.338,0.334,0.337,0.735,0.163,0.138
TX-Arlington,0.197,0.295,0.334,0.325,0.337,0.351,0.761,0.156,0.176
TX-Pan Am,0.174,0.239,0.324,0.331,0.35,0.22,0.656,0.156,0.121
TX-San Ant,0.218,0.317,0.291,0.321,0.413,0.227,0.728,0.161,0.152
U Mass,0.206,0.288,0.298,0.33,0.313,0.233,0.716,0.154,0.148
U Penn,0.18,0.248,0.31,0.304,0.348,0.262,0.709,0.168,0.143
UAB,0.182,0.222,0.293,0.37,0.331,0.306,0.722,0.153,0.155
UC Davis,0.183,0.23,0.267,0.359,0.317,0.223,0.733,0.184,0.172
UC Irvine,0.19,0.254,0.268,0.367,0.332,0.275,0.738,0.159,0.15
UC Riverside,0.212,0.277,0.327,0.345,0.348,0.267,0.742,0.172,0.149
UCLA,0.181,0.251,0.242,0.363,0.354,0.31,0.712,0.143,0.138
UCSB,0.162,0.296,0.323,0.358,0.3,0.266,0.748,0.16,0.152
UMKC,0.198,0.31,0.31,0.368,0.351,0.304,0.711,0.166,0.148
UNLV,0.221,0.282,0.296,0.328,0.327,0.268,0.73,0.165,0.168
USC,0.185,0.214,0.292,0.387,0.325,0.298,0.703,0.143,0.141
Utah,0.199,0.181,0.295,0.363,0.371,0.285,0.743,0.158,0.133
Utah State,0.183,0.246,0.346,0.379,0.352,0.276,0.732,0.152,0.144
Utah Val St,0.205,0.275,0.347,0.346,0.326,0.211,0.706,0.155,0.143
VA Military,0.169,0.289,0.382,0.325,0.374,0.238,0.675,0.161,0.159
VA Tech,0.256,0.244,0.229,0.348,0.314,0.28,0.7,0.157,0.154
Valparaiso,0.2,0.276,0.329,0.365,0.339,0.337,0.789,0.16,0.162
Vanderbilt,0.207,0.261,0.327,0.382,0.294,0.257,0.733,0.146,0.12
VCU,0.179,0.253,0.283,0.352,0.337,0.316,0.745,0.138,0.186
Vermont,0.201,0.271,0.27,0.382,0.37,0.258,0.738,0.169,0.146
Villanova,0.192,0.217,0.334,0.362,0.339,0.28,0.737,0.143,0.178
Virginia,0.181,0.24,0.256,0.402,0.347,0.284,0.76,0.132,0.166
W Carolina,0.217,0.305,0.293,0.33,0.356,0.29,0.687,0.173,0.179
W Illinois,0.187,0.306,0.293,0.378,0.391,0.24,0.747,0.161,0.134
