Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
N Hampshire,0.196,0.300,0.337,0.374,0.311,0.249,0.779,0.165,0.152
N Illinois,0.250,0.279,0.234,0.322,0.339,0.351,0.717,0.182,0.186
N Iowa,0.207,0.200,0.338,0.398,0.321,0.247,0.755,0.158,0.167
N Kentucky,0.163,0.318,0.308,0.334,0.355,0.270,0.728,0.154,0.145
N Mex State,0.236,0.232,0.208,0.363,0.308,0.394,0.715,0.182,0.178
Navy,0.173,0.257,0.263,0.331,0.391,0.270,0.730,0.167,0.176
NC A&T,0.221,0.286,0.259,0.284,0.365,0.320,0.673,0.199,0.160
NC Central,0.193,0.286,0.296,0.356,0.291,0.288,0.718,0.172,0.173
NC State,0.198,0.260,0.280,0.357,0.330,0.325,0.719,0.135,0.127
NC-Asheville,0.207,0.303,0.316,0.352,0.339,0.299,0.696,0.179,0.157
NC-Grnsboro,0.165,0.329,0.287,0.361,0.352,0.276,0.718,0.163,0.158
NC-Wilmgton,0.212,0.321,0.214,0.340,0.335,0.299,0.696,0.155,0.175
Neb Omaha,0.231,0.269,0.243,0.331,0.376,0.293,0.728,0.160,0.180
Nebraska,0.218,0.270,0.254,0.284,0.334,0.248,0.721,0.169,0.179
Nevada,0.257,0.295,0.172,0.258,0.341,0.390,0.694,0.178,0.133
New Mexico,0.209,0.238,0.231,0.308,0.314,0.318,0.761,0.173,0.162
New Orleans,0.257,0.294,0.187,0.339,0.378,0.327,0.688,0.189,0.183
Niagara,0.238,0.259,0.286,0.351,0.379,0.296,0.719,0.176,0.157
Nicholls St,0.218,0.339,0.252,0.312,0.357,0.284,0.669,0.217,0.174
NJIT,0.205,0.307,0.357,0.371,0.331,0.269,0.686,0.179,0.162
Norfolk St,0.212,0.281,0.234,0.345,0.339,0.323,0.720,0.178,0.156
North Dakota,0.213,0.297,0.268,0.331,0.386,0.215,0.725,0.159,0.159
North Texas,0.213,0.268,0.227,0.299,0.342,0.290,0.688,0.173,0.173
Northeastrn,0.216,0.193,0.254,0.386,0.344,0.280,0.773,0.190,0.137
Northwestern,0.172,0.246,0.337,0.359,0.377,0.248,0.711,0.159,0.131
Notre Dame,0.189,0.185,0.306,0.390,0.326,0.259,0.702,0.128,0.147
NW State,0.199,0.261,0.304,0.367,0.401,0.276,0.621,0.139,0.164
Oakland,0.200,0.255,0.314,0.355,0.365,0.277,0.718,0.160,0.141
Ohio,0.176,0.244,0.321,0.341,0.359,0.243,0.721,0.164,0.134
Ohio State,0.179,0.200,0.269,0.370,0.323,0.319,0.704,0.146,0.184
Oklahoma,0.198,0.209,0.283,0.343,0.317,0.300,0.710,0.151,0.167
Oklahoma St,0.221,0.287,0.313,0.346,0.343,0.246,0.695,0.163,0.180
Old Dominion,0.173,0.280,0.273,0.325,0.312,0.350,0.764,0.145,0.184
Oral Roberts,0.251,0.269,0.255,0.358,0.375,0.280,0.703,0.153,0.161
Oregon,0.176,0.261,0.296,0.369,0.332,0.282,0.712,0.147,0.143
Oregon St,0.216,0.295,0.257,0.320,0.300,0.272,0.698,0.165,0.204
Pacific,0.214,0.304,0.313,0.341,0.361,0.318,0.708,0.167,0.139
Penn State,0.201,0.296,0.300,0.336,0.326,0.279,0.720,0.157,0.153
Pepperdine,0.226,0.244,0.219,0.318,0.273,0.266,0.696,0.168,0.162
Pittsburgh,0.195,0.272,0.214,0.336,0.349,0.318,0.718,0.133,0.151
Portland,0.206,0.262,0.284,0.378,0.341,0.336,0.710,0.155,0.149
Portland St,0.221,0.230,0.277,0.373,0.385,0.249,0.705,0.143,0.151
Prairie View,0.173,0.328,0.240,0.331,0.298,0.296,0.615,0.176,0.203
Presbyterian,0.182,0.218,0.203,0.317,0.389,0.245,0.683,0.184,0.135
Princeton,0.231,0.293,0.359,0.373,0.369,0.183,0.758,0.171,0.164
Providence,0.229,0.274,0.216,0.313,0.333,0.321,0.731,0.154,0.169
Purdue,0.221,0.276,0.246,0.327,0.351,0.352,0.728,0.167,0.152
Quinnipiac,0.238,0.253,0.237,0.307,0.351,0.411,0.754,0.164,0.121
Radford,0.196,0.261,0.258,0.326,0.334,0.334,0.691,0.153,0.160
Rhode Island,0.241,0.306,0.198,0.305,0.273,0.300,0.736,0.178,0.189
Rice,0.196,0.280,0.429,0.372,0.344,0.237,0.693,0.196,0.168
Richmond,0.179,0.238,0.300,0.340,0.303,0.207,0.686,0.140,0.180
Rider,0.179,0.261,0.279,0.334,0.327,0.305,0.721,0.164,0.188
Rob Morris,0.201,0.259,0.275,0.375,0.341,0.288,0.649,0.175,0.187
Rutgers,0.196,0.234,0.240,0.295,0.337,0.286,0.706,0.171,0.157
S Alabama,0.236,0.255,0.274,0.329,0.342,0.275,0.682,0.181,0.128
S Car State,0.189,0.257,0.286,0.301,0.334,0.278,0.678,0.165,0.171
S Carolina,0.234,0.300,0.257,0.301,0.317,0.324,0.702,0.166,0.178
S Dakota St,0.217,0.291,0.334,0.381,0.347,0.275,0.731,0.148,0.157
S Florida,0.170,0.300,0.212,0.309,0.373,0.294,0.673,0.179,0.159
S Illinois,0.238,0.277,0.216,0.333,0.381,0.293,0.765,0.179,0.190
S Methodist,0.228,0.226,0.187,0.363,0.326,0.350,0.738,0.165,0.174
S Mississippi,0.178,0.231,0.319,0.328,0.360,0.253,0.670,0.195,0.172
S Utah,0.198,0.351,0.324,0.397,0.372,0.202,0.730,0.181,0.138
Sac State,0.196,0.233,0.268,0.408,0.348,0.256,0.699,0.146,0.170
Sacred Hrt,0.189,0.244,0.218,0.320,0.347,0.314,0.684,0.166,0.156
Saint Louis,0.227,0.300,0.270,0.321,0.357,0.238,0.694,0.192,0.179
Sam Hous St,0.257,0.283,0.304,0.321,0.322,0.347,0.753,0.165,0.178
Samford,0.207,0.306,0.270,0.340,0.389,0.263,0.688,0.167,0.181
San Diego,0.216,0.286,0.293,0.345,0.337,0.275,0.713,0.159,0.184
San Diego St,0.197,0.187,0.253,0.320,0.306,0.335,0.725,0.156,0.182
San Fransco,0.204,0.275,0.275,0.337,0.355,0.280,0.713,0.155,0.163
San Jose St,0.190,0.301,0.379,0.294,0.388,0.229,0.686,0.190,0.154
Santa Clara,0.193,0.300,0.330,0.346,0.377,0.259,0.671,0.148,0.162
Savannah St,0.180,0.317,0.180,0.252,0.371,0.269,0.674,0.214,0.214
SC Upstate,0.169,0.220,0.335,0.332,0.319,0.336,0.685,0.141,0.171
