Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
Florida,0.254,0.199,0.23,0.331,0.339,0.355,0.695,0.138,0.202
Florida A&M,0.216,0.29,0.208,0.287,0.394,0.267,0.595,0.139,0.181
Florida Intl,0.164,0.253,0.234,0.309,0.37,0.295,0.801,0.182,0.132
Florida St,0.191,0.26,0.233,0.355,0.292,0.327,0.695,0.14,0.171
Fordham,0.221,0.289,0.343,0.303,0.333,0.187,0.719,0.18,0.265
Fresno St,0.204,0.304,0.28,0.387,0.305,0.221,0.714,0.184,0.189
Furman,0.154,0.276,0.412,0.396,0.309,0.254,0.802,0.195,0.179
GA Southern,0.184,0.273,0.335,0.339,0.32,0.304,0.665,0.134,0.168
GA Tech,0.212,0.205,0.196,0.385,0.346,0.336,0.682,0.185,0.171
Gard-Webb,0.21,0.299,0.234,0.351,0.409,0.278,0.678,0.176,0.188
Geo Mason,0.232,0.215,0.199,0.303,0.322,0.292,0.763,0.16,0.132
Geo Wshgtn,0.266,0.184,0.288,0.314,0.379,0.337,0.769,0.191,0.153
Georgetown,0.264,0.23,0.269,0.371,0.306,0.282,0.666,0.182,0.185
Georgia,0.214,0.229,0.216,0.298,0.34,0.291,0.771,0.156,0.155
Georgia St,0.158,0.289,0.273,0.339,0.315,0.305,0.703,0.198,0.2
Gonzaga,0.181,0.215,0.294,0.391,0.272,0.307,0.71,0.143,0.156
Grambling St,0.161,0.255,0.25,0.304,0.406,0.322,0.676,0.174,0.205
Grand Canyon,0.202,0.26,0.252,0.343,0.348,0.288,0.684,0.155,0.163
Hampton,0.213,0.342,0.257,0.285,0.317,0.267,0.717,0.192,0.184
Hartford,0.219,0.262,0.365,0.397,0.381,0.176,0.666,0.186,0.166
Harvard,0.22,0.319,0.352,0.38,0.317,0.252,0.714,0.201,0.145
Hawaii,0.231,0.217,0.277,0.293,0.377,0.244,0.684,0.203,0.181
High Point,0.25,0.224,0.323,0.406,0.382,0.233,0.701,0.187,0.181
Hofstra,0.216,0.232,0.347,0.383,0.425,0.373,0.725,0.145,0.153
Holy Cross,0.181,0.197,0.403,0.341,0.371,0.151,0.722,0.159,0.215
Houston,0.157,0.248,0.301,0.444,0.304,0.357,0.736,0.126,0.185
Houston Bap,0.168,0.328,0.305,0.37,0.391,0.259,0.76,0.171,0.173
Howard,0.28,0.262,0.219,0.337,0.41,0.286,0.696,0.194,0.169
Idaho,0.201,0.307,0.309,0.29,0.296,0.289,0.759,0.18,0.166
Idaho State,0.184,0.25,0.391,0.386,0.353,0.163,0.667,0.204,0.165
IL-Chicago,0.28,0.265,0.246,0.354,0.405,0.369,0.662,0.183,0.167
Illinois,0.222,0.223,0.289,0.367,0.34,0.278,0.744,0.181,0.177
Illinois St,0.166,0.267,0.402,0.399,0.323,0.286,0.731,0.18,0.17
Incarnate Word,0.255,0.294,0.269,0.342,0.323,0.199,0.763,0.145,0.16
Indiana,0.207,0.204,0.32,0.382,0.264,0.398,0.758,0.194,0.136
Indiana St,0.149,0.278,0.335,0.325,0.312,0.194,0.711,0.155,0.162
Iona,0.151,0.286,0.403,0.362,0.32,0.228,0.69,0.14,0.145
Iowa,0.196,0.236,0.358,0.368,0.384,0.315,0.689,0.156,0.155
Iowa State,0.13,0.155,0.283,0.352,0.311,0.309,0.764,0.118,0.194
IPFW,0.167,0.219,0.334,0.379,0.356,0.261,0.736,0.165,0.157
IUPUI,0.208,0.33,0.299,0.347,0.318,0.252,0.677,0.151,0.16
Jackson St,0.178,0.338,0.297,0.293,0.419,0.355,0.745,0.156,0.202
Jacksonville,0.209,0.282,0.327,0.375,0.367,0.224,0.744,0.163,0.183
James Mad,0.239,0.311,0.307,0.31,0.324,0.289,0.751,0.207,0.127
Jksnville St,0.157,0.233,0.352,0.41,0.408,0.29,0.707,0.199,0.139
Kansas,0.147,0.265,0.319,0.429,0.365,0.366,0.752,0.156,0.169
Kansas St,0.174,0.203,0.317,0.412,0.322,0.333,0.712,0.174,0.21
Kennesaw St,0.167,0.319,0.227,0.379,0.388,0.324,0.751,0.186,0.141
Kent State,0.192,0.253,0.288,0.337,0.393,0.389,0.736,0.128,0.157
Kentucky,0.195,0.201,0.23,0.322,0.268,0.398,0.727,0.125,0.21
LA Lafayette,0.257,0.271,0.225,0.338,0.391,0.375,0.751,0.149,0.207
LA Monroe,0.126,0.299,0.315,0.308,0.341,0.284,0.746,0.154,0.14
La Salle,0.184,0.243,0.345,0.416,0.397,0.225,0.769,0.143,0.155
LA Tech,0.198,0.203,0.302,0.351,0.29,0.251,0.78,0.153,0.172
Lafayette,0.156,0.197,0.324,0.324,0.394,0.157,0.737,0.181,0.162
Lamar,0.212,0.271,0.338,0.338,0.322,0.264,0.732,0.149,0.179
Lehigh,0.153,0.221,0.351,0.411,0.343,0.232,0.754,0.19,0.141
Lg Beach St,0.191,0.279,0.276,0.33,0.431,0.278,0.662,0.195,0.161
Liberty,0.205,0.331,0.443,0.362,0.364,0.127,0.747,0.182,0.214
Lipscomb,0.27,0.35,0.338,0.315,0.338,0.246,0.679,0.204,0.165
LIU-Brooklyn,0.238,0.288,0.261,0.365,0.381,0.351,0.712,0.181,0.169
Longwood,0.119,0.273,0.421,0.405,0.387,0.184,0.654,0.206,0.175
Louisville,0.197,0.26,0.236,0.312,0.279,0.37,0.771,0.131,0.196
Loyola Mymt,0.106,0.288,0.286,0.329,0.317,0.291,0.692,0.169,0.19
Loyola-Chi,0.152,0.196,0.312,0.381,0.32,0.155,0.755,0.147,0.201
Loyola-MD,0.253,0.235,0.233,0.311,0.331,0.3,0.651,0.182,0.176
LSU,0.153,0.229,0.237,0.318,0.321,0.321,0.698,0.172,0.156
Maine,0.142,0.26,0.371,0.332,0.411,0.293,0.74,0.151,0.163
Manhattan,0.203,0.386,0.298,0.327,0.392,0.337,0.699,0.226,0.162
Marist,0.188,0.29,0.333,0.325,0.355,0.186,0.669,0.168,0.143
Marquette,0.176,0.253,0.335,0.395,0.352,0.243,0.763,0.144,0.181
Marshall,0.237,0.236,0.341,0.358,0.31,0.255,0.659,0.16,0.149
Maryland,0.241,0.235,0.317,0.311,0.318,0.308,0.716,0.173,0.155
Maryland BC,0.216,0.195,0.297,0.397,0.361,0.234,0.714,0.131,0.166
Maryland ES,0.135,0.343,0.35,0.36,0.398,0.247,0.679,0.163,0.162
Massachusetts Lowell,0.237,0.276,0.316,0.363,0.354,0.223,0.67,0.204,0.169
McNeese St,0.196,0.324,0.278,0.294,0.405,0.196,0.574,0.171,0.154
Memphis,0.164,0.243,0.248,0.315,0.315,0.366,0.75,0.134,0.164
Mercer,0.184,0.242,0.313,0.318,0.367,0.313,0.695,0.155,0.14
Miami (FL),0.204,0.165,0.225,0.338,0.283,0.358,0.749,0.174,0.172
Miami (OH),0.236,0.3,0.298,0.326,0.357,0.223,0.748,0.168,0.15
Michigan,0.188,0.205,0.366,0.349,0.352,0.265,0.787,0.149,0.185
Michigan St,0.144,0.229,0.353,0.371,0.337,0.297,0.758,0.184,0.123
Middle Tenn,0.164,0.304,0.238,0.387,0.309,0.233,0.749,0.137,0.201
Minnesota,0.251,0.233,0.247,0.346,0.281,0.277,0.744,0.148,0.154
Miss State,0.195,0.187,0.324,0.348,0.34,0.231,0.743,0.148,0.192
Miss Val St,0.163,0.226,0.244,0.319,0.41,0.222,0.627,0.173,0.159
Mississippi,0.257,0.239,0.317,0.393,0.433,0.37,0.721,0.174,0.154
Missouri,0.211,0.239,0.264,0.291,0.237,0.284,0.777,0.145,0.182
Missouri St,0.135,0.225,0.367,0.373,0.353,0.28,0.747,0.133,0.188
Monmouth,0.209,0.241,0.357,0.368,0.351,0.311,0.673,0.161,0.189
Montana,0.164,0.316,0.333,0.351,0.344,0.272,0.743,0.167,0.167
Montana St,0.211,0.379,0.404,0.367,0.352,0.233,0.707,0.141,0.163
Morehead St,0.119,0.363,0.271,0.345,0.457,0.314,0.733,0.153,0.178
Morgan St,0.271,0.257,0.188,0.254,0.294,0.316,0.654,0.179,0.168
Mt St Marys,0.158,0.251,0.351,0.344,0.341,0.176,0.668,0.17,0.168
Murray St,0.158,0.3,0.382,0.384,0.35,0.32,0.691,0.13,0.157
N Arizona,0.229,0.22,0.357,0.277,0.305,0.283,0.687,0.146,0.156
N Carolina,0.215,0.193,0.247,0.394,0.304,0.425,0.752,0.154,0.186
N Colorado,0.123,0.253,0.362,0.348,0.348,0.228,0.753,0.18,0.138
N Dakota St,0.197,0.234,0.205,0.257,0.357,0.27,0.707,0.192,0.164
N Florida,0.179,0.263,0.352,0.307,0.423,0.312,0.7,0.236,0.163
N Hampshire,0.177,0.225,0.399,0.337,0.376,0.239,0.815,0.202,0.132
N Illinois,0.257,0.264,0.181,0.279,0.314,0.339,0.735,0.169,0.184
N Iowa,0.172,0.214,0.51,0.391,0.374,0.167,0.714,0.153,0.223
N Kentucky,0.203,0.245,0.347,0.343,0.37,0.337,0.773,0.158,0.139
N Mex State,0.241,0.264,0.279,0.327,0.336,0.368,0.683,0.181,0.182
Navy,0.182,0.253,0.34,0.333,0.404,0.333,0.74,0.184,0.202
NC A&T,0.196,0.326,0.264,0.261,0.373,0.257,0.628,0.206,0.138
NC Central,0.164,0.254,0.288,0.327,0.302,0.217,0.696,0.181,0.154
NC State,0.223,0.235,0.24,0.359,0.337,0.258,0.693,0.143,0.137
NC-Asheville,0.159,0.215,0.303,0.359,0.363,0.206,0.683,0.137,0.209
NC-Grnsboro,0.147,0.229,0.401,0.365,0.349,0.338,0.733,0.174,0.219
NC-Wilmgton,0.169,0.28,0.285,0.298,0.31,0.324,0.695,0.14,0.211
Neb Omaha,0.239,0.255,0.262,0.299,0.384,0.295,0.696,0.181,0.164
Nebraska,0.193,0.231,0.242,0.288,0.359,0.292,0.754,0.156,0.179
Nevada,0.234,0.159,0.327,0.377,0.298,0.294,0.733,0.143,0.152
New Mexico,0.272,0.228,0.155,0.313,0.396,0.269,0.717,0.167,0.178
New Orleans,0.195,0.239,0.213,0.353,0.359,0.306,0.677,0.215,0.148
Niagara,0.238,0.27,0.289,0.372,0.307,0.304,0.714,0.154,0.129
Nicholls St,0.188,0.256,0.338,0.343,0.465,0.268,0.636,0.173,0.174
NJIT,0.196,0.254,0.392,0.358,0.36,0.22,0.788,0.182,0.19
Norfolk St,0.183,0.273,0.271,0.33,0.447,0.245,0.722,0.173,0.147
North Dakota,0.225,0.267,0.242,0.333,0.32,0.195,0.762,0.168,0.203
North Texas,0.216,0.219,0.332,0.333,0.366,0.23,0.701,0.172,0.171
Northeastrn,0.245,0.23,0.312,0.372,0.393,0.246,0.719,0.166,0.156
Northwestern,0.178,0.26,0.342,0.408,0.312,0.295,0.717,0.145,0.158
Notre Dame,0.199,0.16,0.371,0.412,0.332,0.322,0.741,0.101,0.174
NW State,0.191,0.248,0.347,0.35,0.304,0.277,0.646,0.204,0.164
Oakland,0.2,0.199,0.301,0.355,0.366,0.241,0.76,0.147,0.16
Ohio,0.185,0.209,0.411,0.419,0.363,0.267,0.74,0.144,0.164
Ohio State,0.173,0.183,0.282,0.364,0.329,0.312,0.745,0.178,0.169
Oklahoma,0.193,0.2,0.289,0.419,0.369,0.292,0.745,0.181,0.181
Oklahoma St,0.231,0.341,0.281,0.376,0.392,0.361,0.71,0.142,0.216
Old Dominion,0.249,0.248,0.23,0.286,0.293,0.346,0.735,0.169,0.186
Oral Roberts,0.15,0.24,0.312,0.351,0.432,0.203,0.71,0.18,0.162
Oregon,0.206,0.208,0.266,0.311,0.289,0.355,0.746,0.18,0.181
Oregon St,0.228,0.298,0.222,0.306,0.354,0.23,0.764,0.237,0.163
Pacific,0.256,0.336,0.275,0.341,0.345,0.3,0.78,0.143,0.159
Penn State,0.197,0.201,0.301,0.346,0.355,0.231,0.724,0.161,0.188
Pepperdine,0.121,0.208,0.259,0.435,0.417,0.268,0.732,0.171,0.136
Pittsburgh,0.234,0.19,0.266,0.332,0.294,0.262,0.748,0.142,0.114
Portland,0.2,0.217,0.316,0.379,0.352,0.223,0.707,0.171,0.154
Portland St,0.151,0.2,0.307,0.382,0.388,0.224,0.658,0.148,0.193
Prairie View,0.209,0.344,0.282,0.331,0.398,0.159,0.632,0.184,0.155
Presbyterian,0.168,0.253,0.286,0.378,0.395,0.252,0.623,0.205,0.137
Princeton,0.133,0.289,0.376,0.342,0.315,0.213,0.771,0.157,0.179
Providence,0.177,0.215,0.358,0.412,0.278,0.244,0.747,0.159,0.19
Purdue,0.175,0.164,0.391,0.448,0.323,0.294,0.777,0.182,0.167
Quinnipiac,0.19,0.326,0.301,0.352,0.338,0.326,0.747,0.164,0.172
Radford,0.159,0.219,0.354,0.322,0.38,0.321,0.703,0.209,0.17
Rhode Island,0.191,0.28,0.239,0.353,0.285,0.345,0.716,0.135,0.185
Rice,0.254,0.281,0.341,0.402,0.362,0.294,0.766,0.182,0.163
Richmond,0.174,0.276,0.293,0.324,0.311,0.191,0.706,0.155,0.181
Rider,0.202,0.261,0.16,0.232,0.262,0.336,0.725,0.186,0.167
Rob Morris,0.204,0.275,0.262,0.323,0.309,0.324,0.675,0.205,0.202
Rutgers,0.212,0.188,0.184,0.273,0.324,0.396,0.738,0.154,0.174
S Alabama,0.166,0.227,0.297,0.318,0.313,0.277,0.699,0.175,0.206
S Car State,0.201,0.291,0.211,0.237,0.39,0.205,0.599,0.169,0.154
S Carolina,0.184,0.289,0.284,0.371,0.259,0.363,0.733,0.17,0.207
S Dakota St,0.253,0.21,0.424,0.332,0.383,0.221,0.712,0.189,0.172
S Florida,0.174,0.284,0.236,0.379,0.357,0.258,0.671,0.201,0.173
S Illinois,0.195,0.286,0.259,0.329,0.406,0.244,0.693,0.164,0.154
S Methodist,0.213,0.215,0.262,0.348,0.327,0.395,0.766,0.166,0.178
S Mississippi,0.202,0.212,0.216,0.223,0.431,0.245,0.769,0.209,0.141
S Utah,0.245,0.342,0.388,0.356,0.368,0.273,0.717,0.15,0.158
Sac State,0.201,0.246,0.223,0.248,0.486,0.193,0.711,0.128,0.126
Sacred Hrt,0.202,0.202,0.225,0.318,0.423,0.251,0.767,0.198,0.162
Saint Louis,0.209,0.265,0.302,0.307,0.376,0.193,0.753,0.185,0.152
Sam Hous St,0.2,0.324,0.258,0.303,0.391,0.289,0.721,0.182,0.203
Samford,0.199,0.211,0.312,0.388,0.305,0.294,0.717,0.151,0.167
San Diego,0.199,0.295,0.396,0.365,0.301,0.197,0.722,0.159,0.132
San Diego St,0.195,0.217,0.367,0.356,0.344,0.284,0.76,0.124,0.156
San Fransco,0.144,0.221,0.384,0.407,0.364,0.285,0.729,0.162,0.156
San Jose St,0.188,0.239,0.279,0.312,0.323,0.263,0.781,0.16,0.193
Santa Clara,0.147,0.238,0.419,0.338,0.43,0.17,0.735,0.156,0.186
Savannah St,0.155,0.211,0.509,0.34,0.362,0.182,0.615,0.181,0.146
SC Upstate,0.158,0.244,0.326,0.325,0.372,0.323,0.717,0.159,0.109
SE Louisiana,0.231,0.3,0.312,0.408,0.336,0.257,0.686,0.187,0.153
SE Missouri,0.174,0.287,0.323,0.35,0.405,0.273,0.739,0.142,0.196
Seattle,0.198,0.257,0.368,0.287,0.35,0.207,0.727,0.176,0.148
Seton Hall,0.19,0.263,0.217,0.352,0.309,0.319,0.752,0.166,0.168
Siena,0.199,0.264,0.237,0.308,0.322,0.321,0.688,0.153,0.16
SIU Edward,0.272,0.266,0.206,0.347,0.313,0.285,0.727,0.168,0.155
South Dakota,0.237,0.235,0.267,0.298,0.357,0.302,0.71,0.143,0.157
Southern,0.231,0.301,0.213,0.323,0.265,0.303,0.705,0.176,0.135
St Bonavent,0.228,0.301,0.261,0.372,0.381,0.368,0.682,0.153,0.181
St Fran (NY),0.165,0.299,0.386,0.303,0.342,0.289,0.723,0.159,0.166
St Fran (PA),0.172,0.218,0.298,0.388,0.428,0.296,0.765,0.199,0.179
St Johns,0.189,0.254,0.395,0.403,0.349,0.283,0.731,0.154,0.168
St Josephs,0.189,0.19,0.304,0.368,0.391,0.292,0.755,0.137,0.174
St Marys,0.133,0.253,0.379,0.4,0.304,0.338,0.78,0.127,0.133
St Peters,0.265,0.238,0.312,0.337,0.301,0.256,0.806,0.158,0.19
Stanford,0.25,0.248,0.168,0.296,0.315,0.302,0.769,0.179,0.18
Ste F Austin,0.255,0.265,0.276,0.337,0.312,0.326,0.698,0.248,0.2
Stetson,0.171,0.265,0.348,0.32,0.337,0.182,0.67,0.14,0.133
Stony Brook,0.232,0.325,0.337,0.298,0.424,0.312,0.731,0.127,0.181
Syracuse,0.179,0.209,0.371,0.4,0.253,0.332,0.677,0.158,0.163
Temple,0.168,0.2,0.35,0.386,0.382,0.259,0.739,0.133,0.167
Tennessee,0.243,0.307,0.268,0.35,0.36,0.348,0.709,0.171,0.22
Texas,0.204,0.174,0.243,0.277,0.301,0.268,0.715,0.156,0.158
Texas A&M,0.153,0.184,0.257,0.311,0.351,0.372,0.716,0.138,0.165
Texas State,0.184,0.285,0.304,0.364,0.358,0.263,0.751,0.169,0.181
Texas Tech,0.182,0.211,0.252,0.404,0.346,0.266,0.808,0.142,0.195
TN Martin,0.19,0.243,0.317,0.337,0.322,0.357,0.644,0.193,0.176
TN State,0.256,0.302,0.237,0.379,0.337,0.354,0.739,0.182,0.189
TN Tech,0.211,0.305,0.303,0.311,0.385,0.337,0.689,0.156,0.171
Toledo,0.236,0.257,0.274,0.322,0.274,0.25,0.781,0.177,0.115
Towson,0.242,0.326,0.208,0.333,0.313,0.392,0.702,0.174,0.18
Troy,0.218,0.231,0.296,0.296,0.399,0.298,0.757,0.182,0.185
Tulane,0.189,0.324,0.333,0.369,0.411,0.272,0.675,0.162,0.172
Tulsa,0.194,0.194,0.319,0.338,0.364,0.297,0.758,0.197,0.156
TX A&M-CC,0.238,0.269,0.177,0.329,0.411,0.312,0.664,0.162,0.203
TX Christian,0.213,0.251,0.274,0.369,0.409,0.336,0.705,0.151,0.209
TX El Paso,0.183,0.282,0.321,0.36,0.45,0.253,0.725,0.184,0.164
TX Southern,0.192,0.252,0.322,0.307,0.34,0.346,0.712,0.148,0.168
TX-Arlington,0.169,0.299,0.35,0.345,0.271,0.301,0.685,0.205,0.158
TX-Pan Am,0.176,0.321,0.346,0.354,0.36,0.293,0.669,0.195,0.17
TX-San Ant,0.231,0.308,0.228,0.253,0.323,0.328,0.781,0.177,0.162
U Mass,0.2,0.331,0.318,0.284,0.294,0.275,0.739,0.19,0.209
U Penn,0.134,0.243,0.39,0.358,0.352,0.28,0.724,0.182,0.191
UAB,0.248,0.213,0.206,0.322,0.372,0.301,0.733,0.195,0.167
UC Davis,0.192,0.246,0.321,0.383,0.328,0.25,0.724,0.187,0.159
UC Irvine,0.186,0.302,0.291,0.301,0.317,0.246,0.784,0.197,0.144
UC Riverside,0.154,0.171,0.312,0.298,0.378,0.288,0.631,0.136,0.162
UCLA,0.152,0.194,0.337,0.454,0.357,0.253,0.745,0.147,0.142
UCSB,0.165,0.272,0.27,0.242,0.353,0.305,0.691,0.166,0.148
UMKC,0.17,0.281,0.408,0.419,0.35,0.252,0.634,0.182,0.178
UNLV,0.221,0.223,0.29,0.355,0.364,0.276,0.754,0.153,0.145
USC,0.212,0.185,0.309,0.347,0.28,0.331,0.729,0.132,0.161
Utah,0.209,0.221,0.259,0.33,0.41,0.383,0.79,0.167,0.148
Utah State,0.157,0.232,0.307,0.336,0.341,0.189,0.751,0.16,0.151
Utah Val St,0.183,0.237,0.375,0.382,0.361,0.19,0.769,0.157,0.162
VA Military,0.146,0.324,0.379,0.314,0.461,0.244,0.765,0.172,0.174
VA Tech,0.188,0.183,0.329,0.389,0.328,0.234,0.777,0.139,0.159
Valparaiso,0.273,0.237,0.208,0.272,0.327,0.3,0.717,0.174,0.177
Vanderbilt,0.214,0.235,0.42,0.427,0.369,0.289,0.764,0.182,0.155
VCU,0.19,0.267,0.264,0.361,0.329,0.244,0.747,0.183,0.203
Vermont,0.192,0.196,0.283,0.339,0.386,0.293,0.713,0.175,0.175
Villanova,0.166,0.162,0.391,0.406,0.281,0.27,0.793,0.133,0.172
Virginia,0.139,0.174,0.299,0.387,0.312,0.314,0.78,0.13,0.217
W Carolina,0.162,0.331,0.398,0.265,0.337,0.267,0.684,0.223,0.143
W Illinois,0.235,0.318,0.363,0.362,0.484,0.187,0.741,0.207,0.135
