Name,PPG,3PG,opp 3%,Fouls PG,TOF PG,TO PG,REB MAR,FT PG
Miami (FL),75.2,6.9,34.4,16.6,11.57142857,10.94285714,2,16.51428571
Miami (OH),63.2,5.4,35.8,18.8,13.96969697,12.18181818,-2.8,14.27272727
Michigan,73.8,9.5,34.6,15.5,12.02777778,9.666666667,-1.1,11.66666667
Michigan St.,79.8,9.2,31,19.2,9.571428571,11.88571429,11.4,12.97142857
Middle Tenn.,72.5,8,34.9,20.1,13.4,11.97142857,2,12.62857143
Milwaukee,79.3,9.3,38.1,17,10.90909091,10.96969697,2.4,16.78787879
Minnesota,68,6.2,38.1,18.3,12.38709677,11.41935484,-3.3,15.12903226
Mississippi St.,74.9,7.3,34.3,19.3,13.03225806,12.67741935,-1.6,12.83870968
Mississippi Val.,65.5,5.1,30.3,19.2,14.08571429,13.42857143,-6.7,13.2
Missouri,68.6,5.6,33.6,20.5,11.09677419,12.4516129,-1.4,15.70967742
Missouri St.,67.3,5.3,36.6,19.4,12.3125,12.78125,-0.7,15.03125
Monmouth,79.5,7.8,31.5,21.3,15,12.30555556,-0.5,18.13888889
Montana,72.5,7.7,32.2,21.7,12.72727273,12.39393939,2.9,13.84848485
Montana St.,76.4,9.6,36.7,22,11.74193548,12.09677419,2.3,13.22580645
Morehead St.,73.5,5.8,35.9,23.3,14.86486486,12.54054054,5,15.05405405
Morgan St.,67.4,5.2,31.5,18.5,14.51612903,11.87096774,-3.7,14.83870968
Mt. St. Mary's,67.2,6.8,33.7,19.8,17.36363636,12.15151515,-8.4,12.60606061
Murray St.,71.3,7.3,36.2,19.9,13.22580645,11.83870968,1.6,14.32258065
N.C. A&T,67.8,6.2,33.9,22.4,12.5625,13.71875,-1.3,15
N.C. Central,69.4,6.3,34.3,19.8,13.28125,13.875,1.9,14.4375
Navy,67.6,4.3,35.4,19.6,13.36363636,13.03030303,4.7,14.51515152
Nebraska,72.2,6.5,36.6,19.3,13.35294118,11.79411765,2,13.82352941
Nevada,75.7,5.3,32.3,20.7,12.89473684,13.02631579,2,19.21052632
New Hampshire,71,6.7,34.2,17.8,10.42424242,11.66666667,5.3,15.21212121
New Mexico,76,6.1,32.5,20.6,12.28125,15.28125,3.8,18.0625
New Mexico St.,71.3,5.3,33.6,15.7,11.05882353,13.58823529,9.8,13.85294118
New Orleans,75,5.4,35.9,21.3,16.46666667,15.06666667,0.8,18.7
Niagara,64.6,5.2,35.7,19.6,11.5625,14.40625,0.7,13.46875
Nicholls St.,67.6,6.2,34.6,20.3,13.88235294,15.70588235,-5.9,15.05882353
NJIT,75.1,8.7,34.8,19.2,13.65714286,12.91428571,-1.7,14.31428571
Norfolk St.,73.4,7.1,37.4,20.9,13.20588235,12.44117647,-0.8,18.41176471
North Carolina,82.8,5.6,36.2,18,12.775,10.775,8.6,15.425
North Carolina St.,75.2,6.3,37.4,16.9,10.33333333,11.09090909,4,16.45454545
North Dakota,75,6.2,34.2,21,14.57575758,13.18181818,0.4,15.72727273
North Dakota St.,68.8,6.5,32.3,15.9,11.54545455,10.54545455,1.1,12.81818182
North Florida,84.3,12.1,33.7,16.2,10.82352941,11.26470588,-4.2,13.35294118
North Texas,74.6,5.8,36,21.4,12.59375,13.84375,-0.7,16.84375
Northeastern,72,8.7,33.7,16.5,12.09090909,12.39393939,-1.5,15.27272727
Northern Ariz.,68.5,7.3,38.7,18.8,12.6,12.96666667,-6.2,14.53333333
Northern Colo.,73.9,6.5,38.5,22.7,12.38709677,13.77419355,0.2,17.06451613
Northern Ill.,72.4,7,34.1,20.2,14.35294118,12.64705882,4.3,15.91176471
Northern Ky.,70.5,7.8,36.1,20.5,11.6,13.53333333,-1.4,12.4
Northwestern,72,8.7,34.5,18.9,10.78125,10.34375,2,11
Northwestern St.,79.4,7.4,34.9,20,13.89285714,14.53571429,-6.5,17.03571429
Notre Dame,75.1,7.3,36.9,15.1,9.638888889,9.972222222,1.8,13.83333333
Oakland,86.4,9,34.9,19.1,12.34285714,11.4,2.5,20.08571429
Ohio,78.5,8.5,36.3,18.1,10.2,11.82857143,1.6,16.45714286
Ohio St.,70.3,6.3,33.4,17.7,11.74285714,12.88571429,1.9,14.02857143
Oklahoma,79.7,10.3,33.7,17,12.67567568,13.08108108,2.1,14.32432432
Oklahoma St.,66.5,6.4,34.2,19.9,11.53125,12.5625,-1.2,14.90625
Old Dominion,68.5,4.2,31.5,18.1,10.89473684,9.105263158,6.4,12.39473684
Ole Miss,75.2,7.9,35.5,19.9,14.21875,12.0625,2.1,17.53125
Omaha,85.3,6.3,35.7,20.6,15.84375,12.90625,-1.7,19.40625
Oral Roberts,76,6.3,36.7,18.2,11.35483871,12.03225806,0.3,16.06451613
Oregon,78.7,6.8,36.1,17.7,14.02631579,11.34210526,3.4,17.05263158
Oregon St.,71.9,6.8,32.5,20.1,13.5,11.28125,-2.5,14.40625
Pacific,69.6,6.8,35.8,22.8,12.03571429,13.67857143,0.9,13.85714286
Penn,68.3,7.1,34.7,18.4,11.53571429,13.32142857,-1,12.17857143
Penn St.,65.8,6.6,36.6,20.2,11.75,11.28125,-1.3,13.5
Pepperdine,73.4,5.1,31.7,18.6,11.25,11.15625,1,15.84375
Pittsburgh,75,6.2,35.2,17.7,11.39393939,11.63636364,7.2,15.63636364
Portland,77.6,9,38.1,21.8,13.40625,12.15625,-3.1,14.3125
Portland St.,77.7,5.4,37.8,19,14.16129032,12.58064516,-1.1,13.70967742
Prairie View,60.4,4.1,30.6,22.3,16.09677419,15,-5.5,13.93548387
Presbyterian,67.5,4.8,33.5,19.2,13.61290323,14.22580645,-2.2,14.09677419
Princeton,79.1,9.7,34.8,17.3,12.82758621,11.4137931,2.9,14.13793103
Providence,73.6,7.1,32.3,16.9,14.54285714,11.34285714,-0.9,16.17142857
Purdue,77.9,7.7,31.4,17.3,9.4,12.11428571,10.5,15.37142857
Quinnipiac,65.6,7.6,31,20.4,12.3,15.3,5.7,11.46666667
Radford,73.1,7.3,32.9,18.7,11.80645161,13.41935484,3.1,11.35483871
Rhode Island,69.4,6.7,33.3,19,12.40625,11.53125,2.5,13.84375
Rice,75.8,7.1,41.3,17.6,13.28125,13.09375,-2.9,17.90625
Richmond,76.6,7.5,36,19.1,12.6875,10.21875,-5.2,13.4375
Rider,66,6.2,34,17.8,12.15151515,12.78787879,-0.1,13.18181818
Robert Morris,65.1,5.6,33.5,17.3,15.3125,14.1875,-6.6,13.1875
Rutgers,67.7,5,37.3,17.6,11.71875,13.84375,-6.9,13.59375
Sacramento St.,71.3,6.7,31.6,20.4,12.12903226,11.83870968,-2.3,13.58064516
Sacred Heart,73.9,5.6,35.9,20.8,13.13333333,14.73333333,0.5,15.93333333
Saint Francis (PA),70.3,7.3,31.8,17.2,11.5,12.63333333,1,15.33333333
Saint Joseph's,77.2,7,31.1,16.2,11.36111111,10.05555556,2.8,16.02777778
Saint Louis,65.8,6.2,32.8,20.2,12.9375,13.625,-4.7,14.34375
Saint Peter's,65.5,6.1,34.1,17.6,11.86666667,13.06666667,3,12.76666667
Sam Houston St.,75,7.8,35.6,21.9,13.38235294,11.76470588,3,15.73529412
Samford,73.9,5.4,36.2,20.9,14.75757576,13.78787879,-0.4,17.36363636
San Diego,60.7,6.4,36.1,21.3,11.96666667,13.66666667,-2.9,12.33333333
San Diego St.,68.6,5.8,30,17.1,12.13157895,12.31578947,5.5,16.13157895
San Francisco,77.6,7.8,38.6,20.7,11.5,12.6,2.8,16
San Jose St.,70.5,6.8,35.2,22.2,12.48387097,13.80645161,-0.1,14.90322581
Santa Clara,67.2,7.5,34.6,19.8,11.32258065,11.29032258,-3.1,13.70967742
Savannah St.,62.2,6.4,34.8,19.8,15.53125,14.78125,-4.1,14.125
Seattle U,64.8,6.2,33.5,18.3,13.0625,15.78125,2.6,12.71875
Seton Hall,74.2,6.1,31.7,18.7,13.82352941,13.79411765,3.6,15.64705882
SFA,80.2,7.9,32,20.6,18.55882353,12.08823529,2.7,15.14705882
Siena,78.2,6.3,32.1,21.1,12.5,16.05882353,7.8,17.23529412
SIUE,65.7,5.6,37.2,22.1,12,13.46428571,0.6,14.75
SMU,77.3,6.5,33.1,15.7,12.1,12.4,10.2,13.63333333
South Ala.,69.2,6.5,31.9,20.2,13.12121212,14.63636364,-1,15.24242424
South Carolina,76,6.4,35.6,19.8,14.91176471,13.64705882,6.1,17.73529412
South Carolina St.,73.1,5.9,34.7,19.3,12.26470588,11.76470588,-1.2,15.11764706
South Dakota,76.3,6.3,38.9,20.7,13.96875,12.125,-3.2,13.0625
South Dakota St.,76.2,7.5,33.3,19.7,12.11764706,11.73529412,5.2,17.11764706
South Fla.,63.2,4,31.9,17.8,9.575757576,14.6969697,2.4,12.24242424
Southeast Mo. St.,67,5.3,35,17.7,13.62068966,13.86206897,-2.8,13.51724138
Southeastern La.,71,7.3,37.4,20.8,13.84848485,15.27272727,-1.6,13.36363636
Southern California,80.5,7.8,32.5,17.4,12.26470588,12.20588235,1.7,14.91176471
Southern Ill.,73.8,6.6,31.8,21.4,14.96875,13.6875,3,15.375
Southern Miss.,64.3,8.9,35.6,18.7,11.82758621,13.37931034,-3.7,13.27586207
Southern U.,72.4,6,31.9,19.4,13.8,11.17142857,-1.5,14.42857143
Southern Utah,70.3,6.9,42.1,20.8,12.34482759,13.13793103,-6,14.68965517
