Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP,,,,,,,
IL-Chicago,0.233,0.343,0.258,0.326,0.378,0.273,0.736,0.163,0.147,,,,,,,
Illinois,0.198,0.232,0.280,0.317,0.343,0.292,0.728,0.141,0.162,,,,,,,
Illinois St,0.233,0.288,0.312,0.307,0.354,0.237,0.703,0.158,0.173,,,,,,,
Incarnate Word,0.217,0.288,0.271,0.371,0.419,0.281,0.717,0.160,0.169,,,,,,,
Indiana,0.249,0.257,0.228,0.342,0.299,0.353,0.745,0.185,0.154,,,,,,,
Indiana St,0.238,0.305,0.275,0.343,0.350,0.243,0.740,0.152,0.154,,,,,,,
Iona,0.191,0.223,0.367,0.396,0.341,0.245,0.661,0.131,0.141,,,,,,,
Iowa,0.245,0.255,0.213,0.350,0.317,0.363,0.741,0.133,0.163,,,,,,,
Iowa State,0.189,0.231,0.302,0.358,0.341,0.267,0.737,0.127,0.138,,,,,,,
IPFW,0.200,0.236,0.306,0.384,0.348,0.305,0.737,0.163,0.157,,,,,,,
IUPUI,0.205,0.248,0.198,0.304,0.370,0.205,0.697,0.154,0.133,,,,,,,
Jackson St,0.244,0.361,0.178,0.293,0.347,0.332,0.730,0.186,0.185,,,,,,,
Jacksonville,0.232,0.275,0.251,0.336,0.390,0.313,0.670,0.165,0.162,,,,,,,
James Mad,0.262,0.311,0.231,0.273,0.351,0.275,0.701,0.163,0.157,,,,,,,
Jksnville St,0.230,0.322,0.261,0.316,0.387,0.284,0.670,0.149,0.165,,,,,,,
Kansas,0.241,0.320,0.205,0.340,0.355,0.362,0.736,0.163,0.142,,,,,,,
Kansas St,0.213,0.313,0.261,0.331,0.293,0.327,0.684,0.156,0.162,,,,,,,
Kennesaw St,0.209,0.325,0.276,0.340,0.338,0.285,0.665,0.206,0.155,,,,,,,
Kent State,0.209,0.321,0.319,0.350,0.346,0.277,0.708,0.159,0.169,,,,,,,
Kentucky,0.261,0.273,0.202,0.333,0.322,0.418,0.727,0.148,0.138,,,,,,,
LA Lafayette,0.222,0.305,0.269,0.371,0.332,0.349,0.708,0.158,0.160,,,,,,,
LA Monroe,0.191,0.276,0.250,0.314,0.333,0.285,0.700,0.170,0.142,,,,,,,
La Salle,0.230,0.235,0.253,0.325,0.331,0.286,0.695,0.149,0.150,,,,,,,
LA Tech,0.215,0.262,0.287,0.330,0.315,0.323,0.721,0.134,0.197,,,,,,,
Lafayette,0.190,0.259,0.309,0.397,0.372,0.241,0.669,0.167,0.152,,,,,,,
Lamar,0.241,0.274,0.145,0.308,0.379,0.252,0.669,0.178,0.159,,,,,,,
Lehigh,0.191,0.232,0.281,0.359,0.340,0.234,0.697,0.159,0.143,,,,,,,
Lg Beach St,0.174,0.265,0.256,0.316,0.329,0.325,0.679,0.154,0.159,,,,,,,
Liberty,0.196,0.280,0.244,0.357,0.350,0.358,0.739,0.171,0.131,,,,,,,
Lipscomb,0.241,0.326,0.365,0.355,0.352,0.237,0.693,0.155,0.175,,,,,,,
LIU-Brooklyn,0.215,0.232,0.314,0.345,0.390,0.286,0.668,0.161,0.132,,,,,,,
Longwood,0.193,0.309,0.248,0.341,0.377,0.234,0.660,0.166,0.156,,,,,,,
Louisville,0.203,0.255,0.288,0.368,0.286,0.366,0.691,0.128,0.214,,,,,,,
Loyola Mymt,0.227,0.299,0.184,0.298,0.365,0.305,0.658,0.148,0.168,,,,,,,
Loyola-Chi,0.204,0.297,0.274,0.350,0.345,0.244,0.713,0.183,0.157,,,,,,,
Loyola-MD,0.235,0.279,0.225,0.322,0.407,0.288,0.668,0.156,0.180,,,,,,,
LSU,0.186,0.275,0.273,0.342,0.358,0.334,0.702,0.163,0.154,,,,,,,
Maine,0.191,0.282,0.261,0.329,0.361,0.216,0.650,0.182,0.149,,,,,,,
Manhattan,0.266,0.345,0.246,0.369,0.327,0.323,0.692,0.168,0.186,,,,,,,
Marist,0.236,0.270,0.285,0.347,0.382,0.268,0.686,0.157,0.167,,,,,,,
Marquette,0.241,0.272,0.200,0.321,0.365,0.324,0.725,0.149,0.168,,,,,,,
Marshall,0.220,0.298,0.249,0.291,0.324,0.305,0.669,0.160,0.166,,,,,,,
Maryland,0.203,0.295,0.299,0.342,0.341,0.319,0.739,0.158,0.163,,,,,,,
Maryland BC,0.228,0.365,0.271,0.307,0.367,0.282,0.696,0.185,0.188,,,,,,,
Maryland ES,0.254,0.305,0.274,0.321,0.381,0.310,0.661,0.159,0.163,,,,,,,
Massachusetts Lowell,0.230,0.257,0.326,0.320,0.318,0.260,0.651,0.182,0.153,,,,,,,
McNeese St,0.207,0.262,0.297,0.302,0.388,0.311,0.660,0.153,0.159,,,,,,,
Memphis,0.198,0.242,0.210,0.331,0.309,0.347,0.689,0.157,0.173,,,,,,,
Mercer,0.203,0.288,0.318,0.389,0.309,0.295,0.699,0.151,0.161,,,,,,,
Miami (FL),0.207,0.234,0.275,0.323,0.355,0.333,0.718,0.145,0.139,,,,,,,
Miami (OH),0.214,0.232,0.219,0.300,0.373,0.217,0.729,0.180,0.191,,,,,,,
Michigan,0.193,0.201,0.350,0.402,0.317,0.269,0.705,0.130,0.147,,,,,,,
Michigan St,0.179,0.287,0.321,0.392,0.332,0.320,0.761,0.149,0.155,,,,,,,
Middle Tenn,0.227,0.297,0.232,0.342,0.330,0.331,0.747,0.162,0.189,,,,,,,
Minnesota,0.221,0.282,0.303,0.356,0.344,0.278,0.710,0.156,0.160,,,,,,,
Miss State,0.228,0.235,0.207,0.307,0.326,0.266,0.691,0.177,0.175,,,,,,,
Miss Val St,0.210,0.332,0.275,0.311,0.372,0.267,0.689,0.176,0.161,,,,,,,
Mississippi,0.222,0.299,0.312,0.339,0.346,0.311,0.670,0.134,0.169,,,,,,,
Missouri,0.275,0.279,0.237,0.344,0.332,0.331,0.720,0.163,0.136,,,,,,,
Missouri St,0.226,0.299,0.307,0.359,0.351,0.254,0.728,0.149,0.158,,,,,,,
Monmouth,0.217,0.320,0.240,0.336,0.353,0.305,0.706,0.174,0.183,,,,,,,
Montana,0.221,0.315,0.317,0.371,0.356,0.215,0.662,0.143,0.156,,,,,,,
Montana St,0.226,0.270,0.257,0.338,0.373,0.239,0.733,0.159,0.174,,,,,,,
Morehead St,0.276,0.343,0.219,0.304,0.346,0.368,0.742,0.187,0.182,,,,,,,
Morgan St,0.214,0.305,0.190,0.261,0.356,0.347,0.675,0.153,0.168,,,,,,,
Mt St Marys,0.208,0.249,0.355,0.355,0.334,0.252,0.692,0.146,0.163,,,,,,,
Murray St,0.222,0.257,0.292,0.376,0.322,0.320,0.693,0.154,0.145,,,,,,,
N Arizona,0.197,0.281,0.237,0.350,0.401,0.309,0.735,0.169,0.161,,,,,,,
N Carolina,0.212,0.289,0.168,0.336,0.317,0.363,0.710,0.141,0.164,,,,,,,
N Colorado,0.195,0.284,0.241,0.379,0.379,0.324,0.702,0.148,0.165,,,,,,,
N Dakota St,0.224,0.287,0.200,0.347,0.378,0.289,0.745,0.136,0.151,,,,,,,
N Florida,0.223,0.291,0.294,0.354,0.363,0.319,0.708,0.187,0.134,,,,,,,
N Hampshire,0.204,0.310,0.373,0.329,0.313,0.247,0.725,0.179,0.146,,,,,,,
N Illinois,0.288,0.316,0.209,0.276,0.305,0.342,0.715,0.191,0.178,,,,,,,
N Iowa,0.209,0.269,0.353,0.359,0.364,0.241,0.745,0.142,0.150,,,,,,,
N Kentucky,0.200,0.339,0.335,0.349,0.377,0.263,0.697,0.155,0.145,,,,,,,
N Mex State,0.258,0.256,0.202,0.361,0.333,0.370,0.709,0.157,0.137,,,,,,,
Navy,0.168,0.293,0.336,0.329,0.357,0.268,0.722,0.172,0.181,,,,,,,
NC A&T,0.323,0.364,0.245,0.295,0.359,0.303,0.700,0.188,0.153,,,,,,,
NC Central,0.264,0.295,0.209,0.325,0.310,0.325,0.694,0.146,0.203,,,,,,,
NC State,0.196,0.303,0.187,0.305,0.321,0.326,0.667,0.133,0.146,,,,,,,
NC-Asheville,0.239,0.296,0.273,0.381,0.369,0.322,0.679,0.166,0.143,,,,,,,
NC-Grnsboro,0.216,0.328,0.223,0.336,0.337,0.270,0.737,0.171,0.151,,,,,,,
NC-Wilmgton,0.193,0.299,0.214,0.283,0.344,0.299,0.675,0.149,0.146,,,,,,,
Neb Omaha,0.233,0.255,0.260,0.332,0.345,0.257,0.692,0.151,0.179,,,,,,,
Nebraska,0.239,0.307,0.264,0.333,0.315,0.237,0.729,0.151,0.170,,,,,,,
Nevada,0.220,0.293,0.277,0.339,0.335,0.292,0.705,0.133,0.136,,,,,,,
New Mexico,0.248,0.238,0.235,0.332,0.348,0.313,0.737,0.137,0.129,,,,,,,
New Orleans,0.279,0.295,0.217,0.328,0.365,0.331,0.683,0.200,0.170,,,,,,,
Niagara,0.260,0.336,0.200,0.300,0.384,0.298,0.685,0.158,0.175,,,,,,,
Nicholls St,0.203,0.394,0.272,0.304,0.337,0.265,0.703,0.160,0.167,,,,,,,
NJIT,0.225,0.325,0.306,0.357,0.341,0.241,0.688,0.164,0.162,,,,,,,
Norfolk St,0.208,0.309,0.238,0.344,0.347,0.345,0.696,0.171,0.163,,,,,,,
North Dakota,0.224,0.322,0.235,0.320,0.374,0.291,0.692,0.142,0.184,,,,,,,
North Texas,0.233,0.296,0.223,0.341,0.355,0.270,0.718,0.156,0.151,,,,,,,
Northeastrn,0.230,0.244,0.222,0.324,0.371,0.307,0.727,0.171,0.148,,,,,,,
Northwestern,0.212,0.278,0.331,0.307,0.315,0.194,0.706,0.155,0.140,,,,,,,
Notre Dame,0.172,0.237,0.297,0.358,0.385,0.297,0.718,0.136,0.146,,,,,,,
NW State,0.222,0.297,0.205,0.339,0.362,0.309,0.652,0.146,0.169,,,,,,,
Oakland,0.214,0.294,0.347,0.366,0.393,0.238,0.716,0.142,0.174,,,,,,,
Ohio,0.190,0.292,0.310,0.351,0.315,0.257,0.707,0.168,0.157,,,,,,,
Ohio State,0.225,0.210,0.247,0.324,0.293,0.279,0.731,0.153,0.193,,,,,,,
Oklahoma,0.222,0.276,0.316,0.379,0.342,0.309,0.713,0.135,0.154,,,,,,,
Oklahoma St,0.254,0.285,0.263,0.364,0.327,0.268,0.701,0.129,0.172,,,,,,,
Old Dominion,0.204,0.306,0.247,0.326,0.358,0.324,0.727,0.172,0.170,,,,,,,
Oral Roberts,0.231,0.306,0.199,0.358,0.373,0.301,0.706,0.146,0.140,,,,,,,
Oregon,0.240,0.327,0.278,0.388,0.324,0.298,0.709,0.140,0.164,,,,,,,
Oregon St,0.247,0.273,0.219,0.392,0.368,0.287,0.702,0.171,0.130,,,,,,,
Pacific,0.236,0.357,0.266,0.362,0.387,0.304,0.737,0.156,0.152,,,,,,,
Penn State,0.232,0.336,0.262,0.319,0.352,0.280,0.735,0.137,0.142,,,,,,,
Pepperdine,0.211,0.282,0.272,0.362,0.367,0.284,0.697,0.157,0.129,,,,,,,
Pittsburgh,0.237,0.258,0.212,0.351,0.326,0.356,0.727,0.137,0.166,,,,,,,
Portland,0.222,0.311,0.246,0.394,0.369,0.305,0.738,0.148,0.145,,,,,,,
Portland St,0.219,0.289,0.265,0.361,0.364,0.247,0.683,0.151,0.170,,,,,,,
Prairie View,0.219,0.338,0.285,0.339,0.347,0.293,0.650,0.174,0.165,,,,,,,
Presbyterian,0.172,0.219,0.268,0.347,0.377,0.192,0.670,0.173,0.127,,,,,,,
Princeton,0.207,0.267,0.385,0.357,0.328,0.233,0.773,0.152,0.167,,,,,,,
