Name,PPG,TPG,opp3,FPG,TOF,TO,REB,FTPG,perc3
Longwood,68,8.1,33.7,19.73529412,14.88235294,14.38235294,-5.8,12.29411765,36.9
Louisiana Lafayette,77.5,6.7,37.3,18.47222222,13.5,14.58333333,6.4,16.63888889,35.8
Louisiana Monroe,64.6,5.1,33.5,15.21052632,11.60526316,11.55263158,3.2,10.94736842,30.3
Louisiana Tech,73.1,6.9,33.7,16.58333333,15.58333333,10.83333333,-4.4,13.72222222,32.8
Louisville,69,5.5,33.7,17.30555556,14.05555556,11.33333333,2.6,14.69444444,30.7
Loyola Chicago,62.8,6.1,33.7,15.35135135,12.48648649,12.59459459,-1.1,11.2972973,39.2
Loyola Marymount,62.2,5.2,33.7,17.41935484,11.48387097,13.61290323,-0.5,13.29032258,35.4
Loyola MD,58.8,4.9,33.7,19.8,11.23333333,12.93333333,1.2,13.4,32.5
LSU,73.4,5.7,33.8,15.63636364,13.63636364,14.42424242,2.3,13.63636364,33.9
Maine,60.4,6.6,33.8,18.46666667,12.73333333,14.4,-6.7,10.7,32.3
Manhattan,69.7,6.5,33.8,22.96969697,16.51515152,14.57575758,-1.9,17.36363636,33.6
Marist,61.2,7.1,33.8,17.84375,13.78125,13.625,-9.7,13.53125,31.5
Marquette,65.1,6.5,33.8,15.78125,13.6875,12.5625,-4.6,12.25,34.4
Marshall,66.8,7.8,33.9,19.8125,13.5,15.5625,-2.1,12.875,31.6
Maryland,69.1,7.4,33.9,16.68571429,11.17142857,12.31428571,1.5,17.05714286,37.6
Maryland Eastern Shore,67.5,6.5,37.5,19.93939394,13.90909091,15.27272727,2.2,15.51515152,38.2
Massachusetts,69.4,4.5,33.9,18.46875,12.0625,14.09375,2.2,16.625,29.5
McNeese St.,69.5,6.2,33.9,17.03225806,12.51612903,10.74193548,-1.3,12.16129032,31.1
Memphis,67.3,5.2,33.9,18.34375,12.6875,13.34375,4.2,12.03125,32.8
Mercer,66.7,6.1,33.9,16,12.11428571,10.77142857,1.1,14.45714286,34.6
Miami FL,68.2,7.7,33.9,15.60526316,11,10.13157895,0.8,14.31578947,35.8
Miami OH,66.3,5.8,33.9,18.8125,13.6875,12.84375,-2.4,14.25,34.2
Michigan,64.7,7.8,34,14.21875,12.09375,9.5625,-3.9,11.03125,35.9
Michigan St.,71.1,7.5,34,18.92307692,10.69230769,11.30769231,5.4,11.56410256,38.5
Middle Tennessee,63.5,6.7,34,18.33333333,13.11111111,13.02777778,2.7,13.80555556,35.9
Milwaukee,65.4,7,34,17.26666667,10.66666667,12.73333333,-0.8,14.46666667,33.8
Minnesota,74.2,7.4,34.1,18.06060606,16.75757576,12.12121212,-2.5,12.90909091,38.1
Mississippi,72.8,6.5,34.9,19.64705882,12.64705882,11.11764706,2.6,16.44117647,33.2
Mississippi St.,61.8,4.2,34.1,18.9375,12.125,14.8125,2.6,15.8125,30.6
Mississippi Valley St.,63.9,4.9,34.1,18.40625,14.9375,15.03125,-8.6,12.875,30.3
Missouri,60.5,6.1,34.1,19.5,11.03125,13.03125,-2.5,11.65625,32.9
Missouri St.,59.7,5.1,34.1,17.74193548,10.51612903,12.16129032,0.5,12.38709677,30.9
Monmouth,64.7,5.2,34.1,18.84848485,13.84848485,12.90909091,-1.5,15.24242424,33.8
Montana,71.1,8.3,34.2,19.21212121,13.33333333,11.84848485,0.1,12.63636364,37.2
Montana St.,63.9,8.2,34.2,20.8,11.56666667,13.7,-0.9,11.56666667,35.8
