Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Game_Away,Game_Home,Game_Year,Game_Date,Game_Tipoff,Game_Location,Neutral_Site,Conference_Competition,Attendance
313150008,UPST,ARK,63,83,South Carolina Upstate,Arkansas,2011,11/11,19:00:00,Bud Walton Arena|Fayetteville|Arkansas,False,False,13093
313150043,CCSU,YALE,69,73,Central Connecticut,Yale,2011,11/11,19:00:00,10,True,False,0
313150059,FAMU,GT,59,92,Florida A&M,Georgia Tech,2011,11/11,19:00:00,Gwinnett Center|Duluth|Georgia,False,False,2590
313150061,WOF,UGA,49,62,Wofford,Georgia,2011,11/11,19:00:00,Stegeman Coliseum|Athens|Georgia,False,False,7177
313150098,JOES,WKU,72,61,Saint Joseph's,Western Kentucky,2011,11/11,19:00:00,E. A. Diddle Arena|Bowling Green|Kentucky,False,False,3813
313150135,BUCK,MINN,58,70,Bucknell,Minnesota,2011,11/11,19:00:00,10,False,False,11976
313150158,SDAK,NEB,48,65,South Dakota,Nebraska,2011,11/11,19:00:00,Bob Devaney Sports Center|Lincoln|Nebraska,False,False,8854
313150197,AMCC,OKST,39,71,Texas A&M-CC,Oklahoma State,2011,11/11,19:00:00,Gallagher-Iba Arena|Stillwater|Oklahoma,False,False,9377
313150201,IDST,OKLA,74,78,Idaho State,Oklahoma,2011,11/11,19:00:00,Lloyd Noble Center|Norman|Oklahoma,False,False,7622
313150202,UALR,TLSA,49,65,Little Rock,Tulsa,2011,11/11,19:00:00,Reynolds Center|Tulsa|Oklahoma,False,False,4299
313150228,WEBB,CLEM,44,65,Gardner-Webb,Clemson,2011,11/11,19:00:00,Littlejohn Coliseum|Clemson|South Carolina,False,False,6000
313152294,CHS,IOWA,53,96,Chicago State,Iowa,2011,11/11,19:00:00,Carver-Hawkeye Arena|Iowa City|Iowa,False,False,0
313152306,CHSO,KSU,67,72,Charleston Southern,Kansas State,2011,11/11,19:00:00,Bramlage Coliseum|Manhattan|Kansas,False,False,12528
313152393,PEAY,MTU,71,80,Austin Peay,Middle Tennessee,2011,11/11,19:00:00,Murphy Athletic Center|Murfreesboro|Tennessee,False,False,4011
313152628,FGCU,TCU,72,73,Florida Gulf Coast,TCU,2011,11/11,19:00:00,Ed and Rae Schollmaier Arena|Fort Worth|Texas,False,False,4158
313150156,NCAT,CREI,65,97,North Carolina A&T,Creighton,2011,11/11,19:05:00,CenturyLink Center Omaha|Omaha|Nebraska,False,False,15228
313150139,TNST,SLU,37,71,Tennessee State,Saint Louis,2011,11/11,19:30:00,Chaifetz Arena|St. Louis|Missouri,False,False,6497
313152320,ARST,LAM,62,65,Arkansas State,Lamar,2011,11/11,19:30:00,Montagne Center|Beaumont|Texas,False,False,2689
313150036,MONT,CSU,58,64,Montana,Colorado State,2011,11/11,20:00:00,Moby Arena|Fort Collins|Colorado,False,False,4666
313150113,ELON,UMASS,67,85,Elon,Massachusetts,2011,11/11,20:00:00,William D. Mullins Memorial Center|Amherst|Massachusetts,False,False,3093
313150277,ORU,WVU,71,78,Oral Roberts,West Virginia,2011,11/11,20:00:00,WVU Coliseum|Morgantown|West Virginia,False,False,8579
313150305,TRGV,DEP,72,91,UT Rio Grande Valley,DePaul,2011,11/11,20:00:00,McGrath-Phillips Arena|Chicago|Illinois,False,False,4001
313150356,L-IL,ILL,49,67,Loyola (CHI),Illinois,2011,11/11,20:00:00,State Farm Center|Champaign|Illinois,False,False,15937
313152539,NDSU,SF,73,65,North Dakota State,San Francisco,2011,11/11,20:00:00,War Memorial Gymnasium|San Francisco|California,False,False,1175
313152655,AAMU,TULN,63,72,Alabama A&M,Tulane,2011,11/11,20:00:00,Devlin Fieldhouse|New Orleans|Louisiana,False,False,2103
313150328,BYU,USU,62,69,BYU,Utah State,2011,11/11,20:05:00,Dee Glen Smith Spectrum|Logan|Utah,False,False,10270
313152638,UTSA,UTEP,73,64,UT San Antonio,UTEP,2011,11/11,20:05:00,Don Haskins Center|El Paso|Texas,False,False,7195
313152005,ARMY,AFA,71,87,Army,Air Force,2011,11/11,20:30:00,Clune Arena|Colorado Springs|Colorado,False,False,3679
313152172,PRST,DEN,61,69,Portland State,Denver,2011,11/11,20:30:00,Magness Arena|Denver|Colorado,False,False,6420
313152641,TROY,TTU,85,90,Troy,Texas Tech,2011,11/11,20:30:00,United Supermarkets Arena|Lubbock|Texas,False,False,10088
