Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
Hofstra,2012-11-11,0.74508,0.74508,0.0,0.74508,0.957752,1.09359,1.09359,0.0,1.09359,0.985234
Purdue,2012-11-11,0.9420290000000001,0.9420290000000001,0.9420290000000001,0.0,1.08538,1.01449,1.01449,1.01449,0.0,0.9973069999999999
UT San Antonio,2012-11-11,0.8634139999999999,0.8634139999999999,0.0,0.8634139999999999,1.0186899999999999,0.921458,0.921458,0.0,0.921458,0.982168
Old Dominion,2012-11-11,0.909975,0.909975,0.909975,0.0,0.969052,0.832199,0.832199,0.832199,0.0,0.914216
UC Riverside,2012-11-11,0.757989,0.757989,0.0,0.757989,0.879818,1.1691,1.1691,0.0,1.1691,0.9679049999999999
UIC,2012-11-11,0.0,0.0,0.0,0.0,0.917408,0.0,0.0,0.0,0.0,1.0357100000000001
Florida Intl,2012-11-11,0.0,0.0,0.0,0.0,0.945701,0.0,0.0,0.0,0.0,1.0050700000000001
Boston College,2012-11-11,0.0,0.0,0.0,0.0,0.888754,0.0,0.0,0.0,0.0,1.03033
Florida Atlantic,2012-11-11,0.0,0.0,0.0,0.0,0.954946,0.0,0.0,0.0,0.0,1.00424
North Carolina,2012-11-11,1.00214,1.00214,1.00214,0.0,1.0918,0.777979,0.777979,0.777979,0.0,0.9003530000000001
Louisiana Monroe,2012-11-11,0.0,0.0,0.0,0.0,0.9076620000000001,0.0,0.0,0.0,0.0,1.08304
Oklahoma,2012-11-11,0.0,0.0,0.0,0.0,1.00179,0.0,0.0,0.0,0.0,0.992909
Duquesne,2012-11-11,1.0373299999999999,1.0373299999999999,0.0,1.0373299999999999,1.0166899999999999,1.0844799999999999,1.0844799999999999,0.0,1.0844799999999999,1.0148
Georgetown,2012-11-11,0.0,0.0,0.0,0.0,1.04308,0.0,0.0,0.0,0.0,0.9040030000000001
Milwaukee,2012-11-11,0.0,0.0,0.0,0.0,0.9605889999999999,0.0,0.0,0.0,0.0,0.937393
South Carolina,2012-11-11,0.0,0.0,0.0,0.0,0.962095,0.0,0.0,0.0,0.0,1.01872
Loyola Marymount,2012-11-11,0.0,0.0,0.0,0.0,0.9906530000000001,0.0,0.0,0.0,0.0,0.975893
SMU,2012-11-11,0.0,0.0,0.0,0.0,0.9472440000000001,0.0,0.0,0.0,0.0,0.989368
New Mexico State,2012-11-11,0.0,0.0,0.0,0.0,1.07103,0.0,0.0,0.0,0.0,0.9508479999999999
Oregon State,2012-11-11,1.2150100000000001,1.2150100000000001,1.2150100000000001,0.0,1.06139,0.988684,0.988684,0.988684,0.0,0.9876159999999999
Army,2012-11-11,0.927909,0.927909,0.0,0.927909,0.938981,1.08494,1.08494,0.0,1.08494,0.996817
VMI,2012-11-11,0.9740469999999999,0.9740469999999999,0.0,0.9740469999999999,1.0236100000000001,1.0765799999999999,1.0765799999999999,0.0,1.0765799999999999,1.0806
Air Force,2012-11-11,1.08494,1.08494,0.0,1.08494,0.947677,0.927909,0.927909,0.0,0.927909,0.988176
The Citadel,2012-11-11,1.0765799999999999,1.0765799999999999,1.0765799999999999,0.0,0.9161450000000001,0.9740469999999999,0.9740469999999999,0.9740469999999999,0.0,1.07596
UT Martin,2012-11-11,0.885129,0.885129,0.0,0.885129,0.8991540000000001,1.0933899999999999,1.0933899999999999,0.0,1.0933899999999999,1.10312
Cincinnati,2012-11-11,0.0,0.0,0.0,0.0,1.02481,0.0,0.0,0.0,0.0,0.924851
Eastern Michigan,2012-11-11,0.0,0.0,0.0,0.0,0.863693,0.0,0.0,0.0,0.0,0.9652120000000001
Jacksonville State,2012-11-11,0.0,0.0,0.0,0.0,0.959835,0.0,0.0,0.0,0.0,0.954298
Manhattan,2012-11-11,0.0,0.0,0.0,0.0,1.01191,0.0,0.0,0.0,0.0,0.932459
Louisville,2012-11-11,0.0,0.0,0.0,0.0,0.9862209999999999,0.0,0.0,0.0,0.0,0.8824270000000001
Oakland,2012-11-11,0.0,0.0,0.0,0.0,1.1021299999999998,0.0,0.0,0.0,0.0,1.09071
UL Lafayette,2012-11-11,0.0,0.0,0.0,0.0,0.9216110000000001,0.0,0.0,0.0,0.0,0.934859
Loyola (MD),2012-11-11,1.12475,1.12475,1.12475,0.0,1.008,0.712871,0.712871,0.712871,0.0,0.961724
Washington,2012-11-11,0.0,0.0,0.0,0.0,1.0387,0.0,0.0,0.0,0.0,0.962938
Montana State,2012-11-11,0.0,0.0,0.0,0.0,0.9655520000000001,0.0,0.0,0.0,0.0,1.0471700000000002
Seattle,2012-11-11,0.0,0.0,0.0,0.0,0.984427,0.0,0.0,0.0,0.0,0.992207
Syracuse,2012-11-11,0.0,0.0,0.0,0.0,1.10558,0.0,0.0,0.0,0.0,0.910026
San Diego State,2012-11-11,0.0,0.0,0.0,0.0,1.02006,0.0,0.0,0.0,0.0,0.943519
Colgate,2012-11-11,0.774784,0.774784,0.0,0.774784,0.934157,1.0565200000000001,1.0565200000000001,0.0,1.0565200000000001,1.0901
Marquette,2012-11-11,0.0,0.0,0.0,0.0,1.04518,0.0,0.0,0.0,0.0,0.914435
Yale,2012-11-12,1.07541,1.07541,0.0,1.07541,0.97151,1.11475,1.11475,0.0,1.11475,0.953047
Saint Joseph's,2012-11-12,0.0,0.0,0.0,0.0,1.04861,0.0,0.0,0.0,0.0,0.9903059999999999
Rhode Island,2012-11-12,0.88141,0.88141,0.88141,0.0,0.967568,1.07372,1.07372,1.07372,0.0,1.06451
Virginia Tech,2012-11-12,1.0938299999999999,1.0938299999999999,1.0938299999999999,0.0,1.00342,0.8477180000000001,0.8477180000000001,0.8477180000000001,0.0,0.961361
Buffalo,2012-11-12,0.840936,0.840936,0.840936,0.0,1.02284,0.9044030000000001,0.9044030000000001,0.9044030000000001,0.0,0.965775
Florida State,2012-11-12,0.9379129999999999,0.9379129999999999,0.9379129999999999,0.0,0.996751,1.00396,1.00396,1.00396,0.0,0.898015
Youngstown State,2012-11-12,1.03795,1.03795,0.0,1.03795,1.00708,0.9471290000000001,0.9471290000000001,0.0,0.9471290000000001,1.00915
Georgia,2012-11-12,0.874598,0.874598,0.874598,0.0,0.9611649999999999,0.797428,0.797428,0.797428,0.0,0.9932040000000001
UC Santa Barbara,2012-11-12,0.855542,0.855542,0.0,0.855542,1.08051,1.04566,1.04566,0.0,1.04566,1.00047
Illinois State,2012-11-12,0.0,0.0,0.0,0.0,1.04274,0.0,0.0,0.0,0.0,0.987591
Central Michigan,2012-11-12,0.0,0.0,0.0,0.0,0.934477,0.0,0.0,0.0,0.0,1.01207
Iowa,2012-11-12,1.11925,1.11925,1.11925,0.0,1.05465,0.715796,0.715796,0.715796,0.0,1.04722
Toledo,2012-11-12,0.7582939999999999,0.7582939999999999,0.0,0.7582939999999999,1.01173,0.940284,0.940284,0.0,0.940284,1.00734
Minnesota,2012-11-12,1.1813,1.1813,1.1813,0.0,1.01429,0.590648,0.590648,0.590648,0.0,0.972042
Troy,2012-11-12,0.911495,0.911495,0.911495,0.0,0.9962110000000001,0.862665,0.862665,0.862665,0.0,1.0910600000000001
Texas A&M,2012-11-12,1.05224,1.05224,1.05224,0.0,0.941966,0.874398,0.874398,0.874398,0.0,0.9569979999999999
Cal State Fullerton,2012-11-12,0.0,0.0,0.0,0.0,1.0753700000000002,0.0,0.0,0.0,0.0,1.01706
Stanford,2012-11-12,1.0492700000000001,1.0492700000000001,0.0,1.0492700000000001,1.02254,0.8791209999999999,0.8791209999999999,0.0,0.8791209999999999,0.899387
Bowling Green,2012-11-12,0.0,0.0,0.0,0.0,0.993226,0.0,0.0,0.0,0.0,0.9756809999999999
Cleveland State,2012-11-12,1.3306799999999999,1.3306799999999999,1.3306799999999999,0.0,1.0011,0.708733,0.708733,0.708733,0.0,0.922099
IUPUI,2012-11-12,0.933473,0.933473,0.933473,0.0,1.0488,0.752351,0.752351,0.752351,0.0,1.0796299999999999
Michigan,2012-11-12,0.0,0.0,0.0,0.0,1.06095,0.0,0.0,0.0,0.0,0.993792
Fordham,2012-11-12,0.849043,0.849043,0.0,0.849043,0.890817,0.9607600000000001,0.9607600000000001,0.0,0.9607600000000001,1.02813
Pittsburgh,2012-11-12,1.36286,1.36286,1.36286,0.0,1.0774700000000001,0.817717,0.817717,0.817717,0.0,1.02224
Robert Morris,2012-11-12,0.756833,0.756833,0.0,0.756833,1.02463,1.10722,1.10722,0.0,1.10722,0.950175
Lehigh,2012-11-12,1.01282,1.01282,0.0,1.01282,1.06477,1.3022,1.3022,0.0,1.3022,0.931309
Fairfield,2012-11-12,0.880633,0.880633,0.0,0.880633,0.980756,0.866873,0.866873,0.0,0.866873,0.916644
Virginia,2012-11-12,0.9821059999999999,0.9821059999999999,0.0,0.9821059999999999,1.0004600000000001,1.04869,1.04869,0.0,1.04869,0.8678959999999999
Penn,2012-11-12,0.978743,0.978743,0.978743,0.0,0.9987959999999999,0.9175709999999999,0.9175709999999999,0.9175709999999999,0.0,0.9801790000000001
Delaware,2012-11-12,0.995663,0.995663,0.0,0.995663,0.9819610000000001,1.1012600000000001,1.1012600000000001,0.0,1.1012600000000001,0.973949
Lamar,2012-11-12,0.0,0.0,0.0,0.0,1.03316,0.0,0.0,0.0,0.0,0.9447110000000001
Kansas State,2012-11-12,1.06667,1.06667,1.06667,0.0,1.02342,0.6525489999999999,0.6525489999999999,0.6525489999999999,0.0,0.9233959999999999
North Dakota State,2012-11-12,0.0,0.0,0.0,0.0,1.06057,0.0,0.0,0.0,0.0,1.00889
Indiana,2012-11-12,1.26611,1.26611,1.26611,0.0,1.13078,0.704846,0.704846,0.704846,0.0,0.972259
Morehead State,2012-11-12,1.01667,1.01667,0.0,1.01667,0.983949,0.977059,0.977059,0.0,0.977059,1.00281
Maryland,2012-11-12,0.9699530000000001,0.9699530000000001,0.0,0.9699530000000001,0.996125,1.0121200000000001,1.0121200000000001,0.0,1.0121200000000001,1.02558
Portland State,2012-11-12,0.0,0.0,0.0,0.0,1.0711899999999999,0.0,0.0,0.0,0.0,1.07071
Oregon,2012-11-12,1.04435,1.04435,1.04435,0.0,1.06942,0.918528,0.918528,0.918528,0.0,0.990706
Northern Arizona,2012-11-12,0.918528,0.918528,0.0,0.918528,0.889926,1.04435,1.04435,0.0,1.04435,1.0853700000000002
UNLV,2012-11-12,0.0,0.0,0.0,0.0,1.05379,0.0,0.0,0.0,0.0,0.925767
Eastern Washington,2012-11-12,0.8695649999999999,0.8695649999999999,0.0,0.8695649999999999,1.0054299999999998,1.10901,1.10901,0.0,1.10901,1.01436
CSU Northridge,2012-11-12,1.06456,1.06456,1.06456,0.0,0.9364520000000001,0.985707,0.985707,0.985707,0.0,1.07905
Northern Illinois,2012-11-13,0.831304,0.831304,0.0,0.831304,0.8530790000000001,1.00016,1.00016,0.0,1.00016,1.06375
Valparaiso,2012-11-13,1.36163,1.36163,1.36163,0.0,1.0112700000000001,0.865038,0.865038,0.865038,0.0,1.0023600000000001
Harvard,2012-11-13,0.0,0.0,0.0,0.0,1.0468,0.0,0.0,0.0,0.0,0.895956
Massachusetts,2012-11-13,0.0,0.0,0.0,0.0,1.00444,0.0,0.0,0.0,0.0,0.9455180000000001
Temple,2012-11-13,0.0,0.0,0.0,0.0,1.07021,0.0,0.0,0.0,0.0,0.991765
Kent State,2012-11-13,0.947425,0.947425,0.947425,0.0,1.00779,0.8900049999999999,0.8900049999999999,0.8900049999999999,0.0,0.9540629999999999
