team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Akron,Kent State,57,60,2014-02-01,0,False,True,89.1,93.8,64.4,.356,.356,.542,57.1,50.0,4.7,5.0,.500,25.7,29.6,.267,.481,15.6,82.8,.148
Akron,Eastern Michigan,52,48,2014-02-05,0,False,False,86.7,80.0,60.6,.377,.434,.416,47.7,64.7,11.7,8.8,.349,15.1,30.6,.283,.422,22.5,69.0,.222
Akron,Bowling Green,65,63,2014-02-09,0,False,True,100.0,96.9,65.3,.236,.309,.531,52.6,38.5,13.8,10.5,.518,19.8,41.4,.145,.510,23.8,64.3,.292
Akron,Western Michigan,54,57,2014-02-12,0,False,True,83.1,87.7,64.6,.296,.407,.438,49.2,38.9,12.3,9.7,.389,19.7,31.4,.222,.446,23.7,70.0,.348
Akron,Northern Illinois,62,54,2014-02-15,0,False,False,95.4,83.1,64.7,.522,.391,.540,51.5,57.1,7.7,10.0,.500,23.1,31.0,.348,.396,17.3,67.6,.226
Akron,Buffalo,90,96,2014-02-19,0,False,True,132.4,141.2,67.8,.224,.343,.607,42.6,25.7,5.9,4.3,.597,5.2,32.4,.149,.692,10.5,60.0,.217
Akron,Ohio,50,66,2014-02-22,0,False,False,82.0,108.2,60.9,.446,.375,.368,56.3,26.7,4.9,4.8,.313,11.8,41.5,.268,.585,15.2,82.6,.075
Akron,Miami (OH),61,65,2014-02-26,0,False,True,91.0,97.0,67.3,.321,.357,.473,54.4,66.7,4.5,20.6,.438,14.7,25.7,.214,.443,13.8,84.8,.340
Akron,Bowling Green,57,47,2014-03-01,0,False,False,87.7,72.3,65.0,.172,.259,.454,47.0,65.2,15.4,2.6,.457,13.8,25.0,.069,.373,25.1,67.6,.176
Akron,Buffalo,83,71,2014-03-04,0,False,False,112.2,95.9,74.4,.500,.375,.599,56.9,24.1,10.8,10.3,.589,13.9,29.0,.304,.509,18.9,88.9,.296
Akron,Kent State,58,54,2014-03-07,0,False,False,92.1,85.7,63.3,.500,.292,.488,42.9,50.0,6.3,13.0,.479,12.0,18.2,.250,.346,10.3,64.9,.138
Akron,Ohio,83,77,2014-03-13,0,True,False,127.7,118.5,64.7,.739,.261,.668,47.3,32.1,10.8,10.3,.685,12.9,32.0,.435,.567,16.7,60.0,.150
Akron,Western Michigan,60,64,2014-03-14,1,True,False,96.8,103.2,55.4,.281,.421,.464,53.5,47.8,8.1,8.8,.474,16.9,40.0,.105,.454,12.6,71.0,.278
Akron,Fort Wayne,91,97,2014-03-19,0,False,True,131.9,140.6,68.7,.304,.304,.710,45.5,52.8,10.1,9.1,.688,13.6,25.0,.250,.709,11.8,62.5,.345
Alabama A&M,New Mexico,52,88,2013-11-09,0,False,True,77.6,131.3,66.5,.357,.571,.397,33.8,46.7,6.0,5.0,.339,11.0,20.0,.250,.623,11.4,53.6,.415
Alabama A&M,Western Michigan,69,73,2013-11-17,0,False,True,100.0,105.8,68.6,.254,.492,.522,42.6,62.5,5.8,13.8,.508,9.6,15.8,.153,.552,14.5,76.7,.417
Alabama A&M,Eastern Kentucky,68,82,2013-11-19,0,False,True,91.9,110.8,74.1,.608,.353,.517,43.9,76.2,6.8,10.3,.500,18.8,13.5,.333,.469,13.1,82.8,.735
Alabama A&M,Jacksonville State,69,76,2013-11-25,0,False,False,101.5,111.8,68.5,.358,.170,.556,41.5,76.9,4.4,11.4,.519,14.0,17.4,.264,.509,15.0,60.0,.293
Alabama A&M,Tennessee State,66,65,2013-12-03,0,False,True,100.0,98.5,66.5,.228,.316,.522,37.7,36.0,9.1,10.3,.509,12.5,16.1,.140,.411,15.9,55.3,.339
Alabama A&M,Ohio,47,72,2013-12-14,0,False,True,65.3,100.0,72.2,.296,.352,.381,43.8,66.7,12.5,3.0,.333,23.7,21.1,.204,.552,22.1,76.9,.396
Alabama A&M,Missouri State,47,68,2013-12-21,0,False,True,68.1,98.6,68.9,.304,.464,.367,40.8,73.3,10.1,20.0,.321,14.8,12.8,.196,.430,18.0,70.3,.500
Alabama A&M,UAB,57,69,2013-12-29,0,False,True,81.4,98.6,69.8,.172,.297,.412,43.6,39.1,11.4,17.4,.391,14.8,32.5,.109,.388,12.5,55.3,.254
Alabama A&M,Jackson State,68,61,2014-01-04,0,False,True,93.2,83.6,72.9,.717,.500,.551,38.9,38.9,12.3,7.9,.478,20.9,13.8,.522,.429,27.9,68.0,.595
Alabama A&M,Grambling,70,58,2014-01-06,0,False,True,107.7,89.2,64.8,.310,.379,.526,52.5,75.0,9.2,17.9,.500,15.4,38.2,.207,.479,23.8,70.4,.277
