Name,TOFP,TOP,POSS,REBD,FTD,Three_D,REB,REBO,Three_O,FTO
Colorado St,0.159215,0.135461,67.0375,0.775728,0.241892,0.363057,0.541576,0.322946,7.09091,23.596
Wichita St,0.187186,0.125912,63.932,0.765381,0.254306,0.353755,0.530804,0.330059,6.73529,21.8983
DePaul,0.160229,0.173816,68.957,0.663874,0.33035,0.31203,0.458924,0.255885,7.75,20.7557
Bowling Grn,0.168071,0.157451,65.4391,0.726,0.232681,0.325581,0.512306,0.297872,6.75,19.3883
South Dakota,0.153581,0.143972,68.4544,0.73673,0.255687,0.33887,0.506536,0.287072,6.32258,20.8757
E Illinois,0.160365,0.169662,65.3282,0.674443,0.230686,0.343699,0.452626,0.211987,7.29032,17.0356
Wagner,0.172823,0.166849,70.5297,0.710928,0.349137,0.378168,0.517408,0.359684,5.75862,20.2409
Wofford,0.175732,0.14961,63.3572,0.740314,0.257398,0.30888,0.508385,0.276663,6.24242,20.9012
Miami (FL),0.146554,0.136627,65.3056,0.731064,0.215183,0.32357,0.505752,0.270246,7.68421,21.9212
Towson,0.127783,0.175437,64.3169,0.727463,0.320344,0.342007,0.556282,0.384858,3.90323,25.6793
Delaware St,0.139152,0.168152,70.9287,0.702818,0.263809,0.334677,0.501955,0.290493,7.70588,18.3697
San Fransco,0.162503,0.154755,67.7577,0.712972,0.274618,0.354839,0.500469,0.280248,6.29032,20.6619
Liberty,0.154232,0.212994,68.4638,0.684624,0.293905,0.35559,0.496354,0.284689,4.5,21.3356
Presbyterian,0.135221,0.18376,64.1174,0.683215,0.217614,0.388807,0.477753,0.244558,4.03571,16.8775
Michigan,0.166855,0.138474,63.1766,0.697268,0.196379,0.339623,0.467402,0.223656,7.70968,16.952
Purdue,0.151629,0.167392,67.7485,0.727609,0.275934,0.350877,0.533105,0.351815,5.73529,22.7485
SE Louisiana,0.166097,0.197579,70.4363,0.693148,0.243127,0.357032,0.489652,0.273212,5.77419,16.7161
Rob Morris,0.186546,0.175328,69.0379,0.649339,0.259387,0.340877,0.476497,0.288104,6.31429,20.0718
Northwestern,0.13111,0.158902,63.2707,0.710914,0.246263,0.376789,0.493885,0.248045,7.125,17.2374
Savannah St,0.214499,0.213528,67.6828,0.674142,0.317223,0.370647,0.465315,0.269401,3.34483,14.8258
Alcorn State,0.158051,0.148646,69.0771,0.647125,0.281305,0.381818,0.458293,0.279768,4.86667,20.412
Geo Mason,0.160284,0.183215,67.4658,0.728273,0.309999,0.352531,0.522816,0.341077,4.16667,21.7394
Buffalo,0.169877,0.140719,70.6424,0.720293,0.244578,0.329593,0.520016,0.321849,6.0303,25.266
Col Charlestn,0.156626,0.167793,63.6367,0.695738,0.326546,0.358349,0.473965,0.258002,5.9697,17.3808
Valparaiso,0.163022,0.160458,65.3343,0.756813,0.241432,0.333882,0.542584,0.326281,6.96774,20.4408
Middle Tenn,0.179087,0.173885,64.3261,0.759315,0.289109,0.357401,0.519094,0.302607,6.8,20.9646
Elon,0.183332,0.166028,70.5931,0.696203,0.2964,0.34965,0.470265,0.255588,6.93548,20.4717
W Virginia,0.245608,0.152196,70.8407,0.700541,0.327598,0.365201,0.519184,0.384675,6.48571,23.0295
NC-Grnsboro,0.158349,0.162522,68.9662,0.718232,0.329176,0.35159,0.498049,0.275971,6.5,16.2882
Oklahoma,0.167167,0.151122,69.4739,0.709779,0.208959,0.317348,0.511655,0.299912,6.74286,20.3571
WI-Milwkee,0.143302,0.175528,67.1585,0.729762,0.235357,0.384966,0.487221,0.242387,6.82143,20.6867
Samford,0.180922,0.167052,69.3375,0.688414,0.306207,0.388998,0.47633,0.263158,6.16129,20.4237
Howard,0.180685,0.214299,66.409,0.670705,0.274174,0.314092,0.501293,0.317734,4.37931,22.5354
VA Tech,0.157739,0.157534,65.8936,0.644289,0.246295,0.350975,0.45127,0.228426,7.30303,16.4177
