Name,FTO,FTD,Three_O,Three_D,REBO,REBD,REB,TOP,TOFP,POSS
Tulsa,21.5441,0.214865,7.125,0.333333,0.284783,0.737143,0.52459,0.202602,0.161346,70.7852
Howard,21.5406,0.247764,4.86667,0.383954,0.267606,0.669492,0.464855,0.185629,0.158434,68.7075
Kansas St,21.5201,0.205993,7.76471,0.362229,0.298947,0.706093,0.513753,0.167555,0.202996,68.8824
GA Tech,21.5186,0.201243,4.17647,0.344262,0.303309,0.678808,0.504762,0.176615,0.158876,71.8941
Louisville,21.4899,0.272109,6.61111,0.29003,0.368259,0.732704,0.539636,0.138746,0.190545,71.6097
WI-Grn Bay,21.4841,0.219676,7.0,0.368984,0.257246,0.743219,0.496308,0.159358,0.166805,80.0592
Lamar,21.463,0.25976,7.21429,0.344681,0.27521,0.722348,0.494048,0.163285,0.187167,72.883
Illinois,21.4501,0.225242,7.29412,0.351206,0.277247,0.768116,0.528139,0.170666,0.156562,72.1235
Pacific,21.4293,0.284122,5.77778,0.34596,0.289355,0.784874,0.526746,0.149081,0.140987,70.516
Manhattan,21.4259,0.36707,7.05556,0.37931,0.323002,0.724958,0.522137,0.203293,0.173231,77.2688
F Dickinson,21.3964,0.30265,7.1875,0.363914,0.224409,0.65587,0.444037,0.159644,0.162731,71.5656
Niagara,21.3798,0.239809,7.77778,0.337766,0.294702,0.698718,0.501089,0.159828,0.125458,74.5771
Miss State,21.3762,0.201541,8.3125,0.308411,0.251004,0.71875,0.495552,0.155119,0.184421,70.7562
Austin Peay,21.3751,0.229461,7.29412,0.389294,0.224953,0.669811,0.445407,0.166407,0.152974,74.3029
Morgan St,21.3506,0.258057,4.53333,0.290541,0.301248,0.681818,0.484441,0.168877,0.158139,74.0025
New Orleans,21.3296,0.276305,3.76923,0.320755,0.314214,0.686747,0.505643,0.204012,0.170466,72.1279
TN Tech,21.3228,0.301099,7.11111,0.365789,0.280551,0.71785,0.493917,0.169481,0.186626,71.9104
Idaho,21.3053,0.30628,7.0,0.367052,0.282895,0.763218,0.510225,0.172977,0.165133,70.0696
GA Southern,21.292,0.266323,8.53333,0.313158,0.261628,0.664062,0.465487,0.147177,0.17104,73.8933
Miami (OH),21.2845,0.299327,7.53333,0.355191,0.214567,0.718487,0.469501,0.170802,0.174607,73.9192
Davidson,21.2547,0.235198,9.3125,0.376471,0.267823,0.738267,0.506276,0.151294,0.147484,71.4547
Dayton,21.1658,0.242993,7.9375,0.327684,0.227723,0.78389,0.499162,0.150095,0.198813,72.3453
Albany,21.1125,0.224543,4.94118,0.363636,0.309771,0.802875,0.55618,0.173849,0.155576,67.7044
Texas Tech,21.0945,0.229968,6.76471,0.357513,0.317697,0.774131,0.556291,0.146516,0.190076,68.3199
Dartmouth,21.0753,0.240738,6.92857,0.34058,0.234091,0.738938,0.494803,0.190837,0.15295,70.4955
Hofstra,21.066,0.224807,8.88889,0.398458,0.339869,0.725753,0.51997,0.140969,0.130042,71.2049
S Methodist,21.0494,0.189418,7.68421,0.323009,0.40493,0.763955,0.589327,0.154246,0.159053,65.0099
Arizona St,20.7925,0.232562,9.83333,0.360515,0.251224,0.727109,0.472994,0.130274,0.164045,75.8819
Akron,20.775,0.235263,10.75,0.365449,0.317495,0.75442,0.53389,0.164428,0.154417,69.4945
Winthrop,20.7676,0.231266,9.46667,0.335244,0.236,0.724858,0.485689,0.15404,0.165754,74.7958
N Dakota St,20.7061,0.264971,6.5625,0.353293,0.238384,0.705341,0.480427,0.165368,0.158355,69.7258
Hampton,20.6352,0.324319,6.5,0.371875,0.277056,0.743341,0.496335,0.185384,0.179974,70.6143
Oregon,20.5834,0.195388,7.88235,0.295213,0.32696,0.746903,0.540249,0.156044,0.187428,72.8743
Arkansas St,20.5658,0.304466,6.82353,0.311897,0.263566,0.745794,0.512777,0.176192,0.176929,71.7926
Purdue,20.55,0.155322,9.5,0.327731,0.314019,0.795752,0.568471,0.164253,0.156013,73.5333
Ste F Austin,20.5159,0.299261,6.42857,0.334802,0.330144,0.74934,0.527374,0.226079,0.206545,71.025
Bradley,20.5142,0.283425,6.83333,0.333333,0.239927,0.693374,0.495004,0.202382,0.144091,70.6826
TX A&M-CC,20.5002,0.267071,4.15385,0.356902,0.283981,0.655257,0.46732,0.171468,0.195973,73.5452
Oklahoma,20.4835,0.228043,7.0625,0.361186,0.287293,0.738964,0.51145,0.169622,0.175877,75.3656
Tulane,20.4646,0.299328,6.88235,0.410095,0.27674,0.700971,0.477087,0.166335,0.175199,73.8721
Central Ark,20.4508,0.241545,6.11111,0.384466,0.250831,0.686567,0.49095,0.190683,0.136273,75.5201
Wash State,20.4252,0.189733,6.0,0.364583,0.162447,0.74359,0.482175,0.164237,0.131954,71.2969
Gonzaga,20.4049,0.200056,8.52941,0.289157,0.296,0.730769,0.536413,0.145444,0.160884,73.8
Nicholls St,20.3986,0.226919,7.78571,0.430976,0.250526,0.634615,0.437066,0.190284,0.180224,76.3357
Montana St,20.3879,0.363105,10.2353,0.387435,0.248311,0.748148,0.491172,0.151528,0.16396,75.5926
Penn State,20.3465,0.209832,6.88889,0.344538,0.247557,0.747218,0.497432,0.162413,0.184758,75.3611
E Carolina,20.3443,0.186042,5.31579,0.312343,0.301738,0.702504,0.50899,0.18473,0.152701,68.298
